p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	Diagnosis
4.98871919129741e-22	-0.295190465376247	0.994	0.998	1.67311664237733e-17	RPL41	Control
6.153233295364e-22	-0.662559344154889	0.936	0.965	2.06367138259918e-17	ZFP36	Control
8.55760850334882e-22	-1.09497442562321	0.446	0.636	2.87005073985313e-17	RGS1	Control
9.48013967518515e-22	0.529243528985243	0.902	0.816	3.1794492442636e-17	EMP3	Control
9.50518496170152e-22	0.512003020438935	0.895	0.814	3.18784893245546e-17	LCP1	Control
9.67260334444639e-22	0.46391474131698	0.973	0.98	3.24399770966043e-17	S100A4	Control
1.92761779804678e-21	0.554316921051312	0.824	0.643	6.4648445710893e-17	SUN2	Control
5.49429989336091e-21	0.904407804091521	0.485	0.282	1.84267829823538e-16	ERAP2	Control
9.20501465858131e-21	-0.753923004696504	0.533	0.702	3.087177816195e-16	DDIT4	Control
9.88605201356126e-21	0.361727187205482	0.998	0.984	3.31558412430818e-16	HSPA8	Control
1.86618919506339e-20	-1.84925754379181	0.071	0.219	6.2588253224036e-16	KANSL1-AS1	Control
3.53872377290676e-20	-2.79778296341169	0.02	0.134	1.18681717895747e-15	C20orf204	Control
9.13007472901697e-20	0.565632484605804	0.791	0.65	3.06204446261771e-15	CDC42	Control
2.67553764487036e-18	-1.27966206619287	0.246	0.409	8.97321815336621e-14	FKBP5	Control
3.39780240212718e-18	0.553682785779987	0.806	0.681	1.13955496962541e-13	TUBA1B	Control
1.65429704845809e-17	-1.13576222586701	0.197	0.364	5.54818144111874e-13	AREG	Control
2.0473587626986e-17	0.378103249090379	0.923	0.835	6.86643181833858e-13	TMBIM6	Control
4.6745119217954e-17	0.323306202312939	0.995	0.989	1.56773780833174e-12	SH3BGRL3	Control
7.99331658824905e-17	-0.925508903587335	0.31	0.475	2.68079851736697e-12	SMAP2	Control
8.33874431454353e-17	0.326117203974773	0.984	0.957	2.79664806821161e-12	PTPRC	Control
1.34146810162921e-16	0.482818606783597	0.848	0.745	4.49901571924406e-12	ACTR3	Control
2.36789601162011e-16	0.764510400427945	0.504	0.33	7.94144964377151e-12	EIF4A1	Control
2.43107493385367e-16	0.289179788024552	0.999	0.997	8.15333911315844e-12	ACTG1	Control
1.30954888138186e-15	-0.455976847948701	0.928	0.966	4.39196503837847e-11	TNFAIP3	Control
1.77678447012333e-15	0.476388030903758	0.782	0.645	5.95897975589964e-11	PKM	Control
3.54259626767656e-15	0.466385643956192	0.838	0.741	1.18811593625336e-10	ENO1	Control
9.04518167562644e-15	0.859297826405765	0.382	0.222	3.03357303037159e-10	HTATSF1	Control
1.44874550753451e-14	-6.03606675751803	0	0.062	4.85880268316923e-10	AC108134.3	Control
1.69177522003713e-14	1.31788969847441	0.278	0.14	5.67387573296053e-10	GZMA	Control
4.50821408654588e-14	0.406245072118599	0.861	0.766	1.51196484034576e-09	MBNL1	Control
6.35492477420284e-14	0.273460806023419	0.972	0.961	2.13131467077215e-09	LAPTM5	Control
9.81172998252648e-14	0.436504262578602	0.814	0.727	3.29065800153973e-09	CAP1	Control
1.03215649880898e-13	-0.191414747598667	1	1	3.46164646570556e-09	RPS27	Control
1.06559916613825e-13	0.35368932672172	0.89	0.849	3.57380648339445e-09	TPM3	Control
1.19269215463577e-13	-0.625707894446412	0.467	0.608	4.00005094821745e-09	SYTL3	Control
1.19313239771196e-13	0.375130259104452	0.875	0.81	4.00152743544638e-09	NCL	Control
1.49650855741189e-13	0.289348759632147	0.972	0.944	5.018990399848e-09	PCBP1	Control
1.92936391891212e-13	0.754558851961479	0.465	0.317	6.47070071124747e-09	ESYT1	Control
2.1804383775613e-13	0.402665604798132	0.802	0.692	7.31275423066509e-09	ACAP1	Control
2.31186127776815e-13	0.501667531266677	0.746	0.652	7.75352035337882e-09	RBM3	Control
2.48517305642199e-13	0.387286191136758	0.862	0.791	8.33477339662808e-09	CD3G	Control
