p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	Diagnosis
0.541685572325218	0.186843540601291	0.074	0.067	1	RFC2	Control
0.301807058193742	0.186843540601291	0.269	0.251	1	REXO2	Control
0.149403575453514	0.186843540601291	0.209	0.182	1	CDC5L	Control
0.205345940090989	0.186651807590059	0.236	0.212	1	HIGD1A	Control
0.434696871743662	-0.186614854926153	0.146	0.159	1	NUFIP2	Control
0.295808013401379	0.186566870729719	0.162	0.145	1	MKKS	Control
0.2885617079487	0.186488153226446	0.133	0.116	1	GIPC1	Control
0.290003531037447	0.186488153226446	0.13	0.114	1	NME1	Control
0.388552392108467	0.186429211178315	0.213	0.199	1	TSR2	Control
0.0819577256984385	-0.186170743781846	0.189	0.224	1	NUTM2A-AS1	Control
0.266299008676805	-0.186170743781846	0.101	0.117	1	MOGS	Control
0.267135063672215	0.186018907803253	0.117	0.1	1	B3GALT4	Control
0.502825267014854	0.186018907803253	0.057	0.05	1	ACAP3	Control
0.0191977647817422	0.18596625566037	0.465	0.413	1	PGLS	Control
0.0249234573501534	0.185786233818249	0.62	0.596	1	SHISA5	Control
0.236287294069723	0.185786233818249	0.134	0.115	1	FAM122B	Control
0.113305313957629	0.185723000707376	0.204	0.174	1	APBB1	Control
0.229084277698959	0.185723000707376	0.205	0.183	1	AKT2	Control
0.159519493773185	0.185693524565196	0.262	0.236	1	CHTF8	Control
0.30931188297291	0.185612572061688	0.209	0.192	1	SBNO1	Control
0.0790256065522083	0.185612572061688	0.267	0.23	1	AHR	Control
0.156114369089159	0.185612572061688	0.148	0.124	1	ARHGAP5	Control
0.787896804696224	0.185612572061688	0.073	0.07	1	CRACR2A	Control
0.297075049095739	-0.185532806543555	0.211	0.229	1	CDS2	Control
0.695376745794261	-0.185327309065693	0.104	0.11	1	CSF1	Control
0.316305899387006	0.18494400768581	0.164	0.147	1	GMCL1	Control
0.662191312839409	-0.184926504773383	0.056	0.061	1	DCAKD	Control
0.355778980308415	0.18489098399685	0.176	0.161	1	EDEM3	Control
0.112887034604395	0.184868280300371	0.35	0.32	1	FLOT2	Control
0.125847890050773	0.184781074144398	0.24	0.21	1	UBA3	Control
0.02412403521773	0.184703535800538	0.466	0.418	1	CD28	Control
0.129321499354874	0.184641925317045	0.351	0.324	1	METTL23	Control
0.000165383306447719	0.184533668879351	0.954	0.94	1	RPS20	Control
0.507099550865802	0.184416803206751	0.04	0.034	1	PARP2	Control
0.586427797127522	0.184416803206751	0.04	0.035	1	IRF5	Control
0.703668145354282	0.184416803206751	0.019	0.017	1	CEP72	Control
0.703668145354282	0.184416803206751	0.019	0.017	1	PRSS16	Control
0.703668145354282	0.184416803206751	0.019	0.017	1	CCDC122	Control
0.703668145354282	0.184416803206751	0.019	0.017	1	STOML1	Control
0.837875478132278	0.184416803206751	0.018	0.017	1	FAM184A	Control
0.981328824681847	0.184416803206751	0.017	0.017	1	USP40	Control
0.983881702858138	0.184416803206751	0.017	0.017	1	AMN	Control
0.0670756285698329	0.184416803206751	0.328	0.287	1	UBE2J1	Control
0.3265120189935	0.184416803206751	0.154	0.139	1	QDPR	Control
0.432644717990621	0.184416803206751	0.08	0.07	1	SPICE1	Control
0.434279363341208	0.184416803206751	0.078	0.068	1	POLR3H	Control
0.483120968924629	0.184416803206751	0.079	0.07	1	CCDC126	Control
0.598434191290192	0.184416803206751	0.074	0.068	1	BBS7	Control
9.58239110451067e-05	0.184219801186728	0.967	0.936	1	LDHB	Control
0.0151558421059747	0.184162740506281	0.562	0.512	1	MGST3	Control
0.0679898212840468	0.184140398370023	0.289	0.251	1	EIF5B	Control
0.30400973366956	0.184140398370023	0.275	0.257	1	SMIM37	Control
0.00628150595775895	0.183974407986674	0.677	0.63	1	NEDD8	Control
0.290406224715863	-0.183954229071603	0.077	0.091	1	TMEM191C	Control
0.0790375785783126	0.183948015212086	0.47	0.434	1	SURF4	Control
0.185804082539317	0.183831650069186	0.162	0.14	1	DYNC1LI1	Control
0.21880159439295	0.183748734178425	0.252	0.228	1	MPC1	Control
0.251137415184293	0.183697792456315	0.231	0.21	1	ELMO1	Control
0.216842900708432	0.183604932031196	0.362	0.337	1	IL2RB	Control
0.172443052702371	0.183484528511377	0.27	0.244	1	EIF4E2	Control
