Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Neurotrophin signaling pathway	4/119	0.0623430049663139	0.136284708531012	2.7762460233298	7.70437089725157	CALM1;RHOA;JUN;ARHGDIB	86	KEGG_2021_Human
Fructose and mannose metabolism	2/33	0.0637804607114102	0.137824443836151	5.12981269510926	14.118826540294	TPI1;ALDOA	87	KEGG_2021_Human
Propanoate metabolism	2/34	0.0672244101555237	0.143615785332255	4.96925403225806	13.4155887865387	LDHB;LDHA	88	KEGG_2021_Human
Gastric acid secretion	3/76	0.0698294637493425	0.147504934661533	3.27386168265765	8.71403515759503	CALM1;ACTB;ACTG1	89	KEGG_2021_Human
Tuberculosis	5/180	0.0758818916692194	0.158018337304179	2.28279883381924	5.88637303529718	CD74;CALM1;CORO1A;RHOA;LSP1	90	KEGG_2021_Human
RNA degradation	3/79	0.0764875994397889	0.158018337304179	3.14415086298743	8.08243800037873	PABPC1;BTG2;BTG1	91	KEGG_2021_Human
RNA transport	5/186	0.0845087894560924	0.172691874105928	2.20644943060097	5.45191530850107	EEF1A1;RAN;EIF1;PABPC1;SUMO2	92	KEGG_2021_Human
Ubiquitin mediated proteolysis	4/140	0.09889821726331	0.199923277908627	2.34505021520803	5.42565841627927	UBC;UBB;RPS27A;UBA52	93	KEGG_2021_Human
Hypertrophic cardiomyopathy	3/90	0.103121100396786	0.206242200793571	2.74507887756527	6.23641087763361	TPM3;ACTB;ACTG1	94	KEGG_2021_Human
Rheumatoid arthritis	3/93	0.110945536437761	0.21955537737157	2.6531713900135	5.83357001666208	JUN;FOS;CCL5	95	KEGG_2021_Human
Proteoglycans in cancer	5/205	0.115035148204394	0.225277165233606	1.99489795918367	4.31400186865155	ACTB;RHOA;RPS6;DDX5;ACTG1	96	KEGG_2021_Human
Pyruvate metabolism	2/47	0.116782253057526	0.226340861596031	3.53136200716846	7.58340273020406	LDHB;LDHA	97	KEGG_2021_Human
Dilated cardiomyopathy	3/96	0.11899030144094	0.2282671088867	2.56719341778765	5.46481874564479	TPM3;ACTB;ACTG1	98	KEGG_2021_Human
Choline metabolism in cancer	3/98	0.124470522063002	0.23509841608402	2.51289154059237	5.23607783153912	JUN;FOS;RAC2	99	KEGG_2021_Human
Cocaine addiction	2/49	0.125052348980862	0.23509841608402	3.38074811256005	7.02865253385337	JUN;FOSB	100	KEGG_2021_Human
Cysteine and methionine metabolism	2/50	0.129238884586801	0.238169728675577	3.31014784946237	6.77286957784858	LDHB;LDHA	101	KEGG_2021_Human
Vibrio cholerae infection	2/50	0.129238884586801	0.238169728675577	3.31014784946237	6.77286957784858	ACTB;ACTG1	101	KEGG_2021_Human
Pathways in cancer	10/531	0.130486606668002	0.238169728675577	1.53782789507358	3.13176296168534	JUN;FOS;TPM3;HSP90AA1;HSP90AB1;CALM1;RHOA;CXCR4;RAC2;IL7R	103	KEGG_2021_Human
cAMP signaling pathway	5/216	0.134807202790457	0.242962725394793	1.88983460682851	3.78705780319896	CALM1;RHOA;JUN;FOS;RAC2	104	KEGG_2021_Human
Longevity regulating pathway	3/102	0.135697266842837	0.242962725394793	2.41086983192246	4.81529987737255	HSPA1A;HSPA1B;HSPA8	105	KEGG_2021_Human
Hepatitis B	4/162	0.145553302051552	0.258151139487658	2.01626016260163	3.88576264014823	JUN;YWHAB;FOS;YWHAZ	106	KEGG_2021_Human
Hippo signaling pathway	4/163	0.147851583435759	0.259776613887128	2.00347701590223	3.82973912295545	ACTB;ACTG1;YWHAB;YWHAZ	107	KEGG_2021_Human
Glucagon signaling pathway	3/107	0.1501963874121	0.261452970680322	2.29437869822485	4.34970973205429	CALM1;LDHB;LDHA	108	KEGG_2021_Human
cGMP-PKG signaling pathway	4/167	0.157183461814745	0.271105420377725	1.95391291336226	3.61540636446901	CALM1;RHOA;SLC25A6;SLC25A5	109	KEGG_2021_Human
Toxoplasmosis	3/112	0.165165394043753	0.280377691841951	2.1885748244995	3.94120287526767	HSPA1A;HSPA1B;HSPA8	110	KEGG_2021_Human
Cytokine-cytokine receptor interaction	6/295	0.165542147842854	0.280377691841951	1.65587951670543	2.97814807121806	IL32;CXCR4;IL7R;CCL4L2;CCL5;CCL4	111	KEGG_2021_Human
Mineral absorption	2/60	0.172652780476588	0.289810024371416	2.73804226918799	4.80929663575136	FTL;FTH1	112	KEGG_2021_Human
Phenylalanine metabolism	1/17	0.192591401607465	0.320417553116844	4.95331325301205	8.15902043952221	MIF	113	KEGG_2021_Human
Central carbon metabolism in cancer	2/70	0.218001638326611	0.354769565987703	2.33420303605313	3.55558107926071	LDHB;LDHA	114	KEGG_2021_Human
Epithelial cell signaling in Helicobacter pylori infection	2/70	0.218001638326611	0.354769565987703	2.33420303605313	3.55558107926071	JUN;CCL5	114	KEGG_2021_Human
Oocyte meiosis	3/129	0.218900370503051	0.354769565987703	1.89165220744168	2.87368185183663	CALM1;YWHAB;YWHAZ	116	KEGG_2021_Human
Vascular smooth muscle contraction	3/133	0.232040551969812	0.37285148521645	1.83307380878231	2.67783327964053	MYL6;CALM1;RHOA	117	KEGG_2021_Human
Arrhythmogenic right ventricular cardiomyopathy	2/77	0.250320753141563	0.39707720662294	2.11559139784946	2.930119834696	ACTB;ACTG1	118	KEGG_2021_Human
Protein export	1/23	0.251341423341117	0.39707720662294	3.6013143483023	4.97320988258473	SRP14	119	KEGG_2021_Human
PI3K-Akt signaling pathway	6/354	0.282795794874431	0.443046745303276	1.37097230073488	1.73157943931721	RPS6;IL7R;HSP90AA1;YWHAB;YWHAZ;HSP90AB1	120	KEGG_2021_Human
Herpes simplex virus 1 infection	8/498	0.285400913661238	0.443432824531511	1.2993759487266	1.62923601122914	SRSF7;CCL5;B2M;HLA-C;HLA-A;HLA-B;HLA-E;CD74	121	KEGG_2021_Human
Phototransduction	1/28	0.297033023386046	0.457723019644071	2.93366056819872	3.56120564007413	CALM1	122	KEGG_2021_Human
Gap junction	2/88	0.301267993740972	0.460474657100023	1.84396099024756	2.21230153900374	TUBB;TUBA1B	123	KEGG_2021_Human
Pentose phosphate pathway	1/30	0.314522124447908	0.476856124162958	2.7310621797535	3.15902196468746	ALDOA	124	KEGG_2021_Human
GnRH signaling pathway	2/93	0.324274845823062	0.487709368117885	1.74220134704006	1.96200414720053	JUN;CALM1	125	KEGG_2021_Human
Base excision repair	1/33	0.33994647898697	0.501054287160654	2.47464859437751	2.67006438895378	HMGB1	126	KEGG_2021_Human
Circadian entrainment	2/97	0.342541563382895	0.501054287160654	1.66850594227504	1.78757432333438	CALM1;FOS	127	KEGG_2021_Human
Prostate cancer	2/97	0.342541563382895	0.501054287160654	1.66850594227504	1.78757432333438	HSP90AA1;HSP90AB1	127	KEGG_2021_Human
Wnt signaling pathway	3/166	0.343808526828321	0.501054287160654	1.45950175107424	1.55826679593718	RHOA;JUN;RAC2	129	KEGG_2021_Human
Aldosterone synthesis and secretion	2/98	0.347084710077059	0.501937888419132	1.65104166666667	1.74710984999589	CALM1;NR4A2	130	KEGG_2021_Human
Chemical carcinogenesis	4/239	0.349910339527627	0.502161403291557	1.35028541774779	1.41790545661988	JUN;FOS;HSP90AA1;HSP90AB1	131	KEGG_2021_Human
Calcium signaling pathway	4/240	0.352745424847174	0.502394999024763	1.34449497037343	1.40097540015879	CALM1;CXCR4;SLC25A6;SLC25A5	132	KEGG_2021_Human
Progesterone-mediated oocyte maturation	2/100	0.356139474860307	0.5034151975469	1.61718235681369	1.66963217593623	HSP90AA1;HSP90AB1	133	KEGG_2021_Human
Tyrosine metabolism	1/36	0.364431477160063	0.51129192317979	2.26219162363741	2.28349408615211	MIF	134	KEGG_2021_Human
Thyroid cancer	1/37	0.372390409774268	0.518588126204166	2.19924141008478	2.17243812548239	TPM3	135	KEGG_2021_Human
