Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Human immunodeficiency virus 1 infection	28/212	1.17220773554227e-05	0.000283963853484601	0	0	2.70206058108387	30.6792945729894	CXCR4;CD3G;FASLG;CD3E;PAK1;GNGT2;AKT2;CHEK1;RAC2;FADD;SKP1;APOBEC3C;APOBEC3F;APOBEC3G;NFATC3;HLA-C;TAP1;NFATC1;HLA-A;FOS;TNFRSF1B;HLA-G;MTOR;TAPBP;TNFRSF1A;FAS;ATM;CALM1
Pathways of neurodegeneration	49/475	1.17908866498796e-05	0.000283963853484601	0	0	2.05696234142443	23.3427863965831	ATP2A3;FASLG;PSMD6;TUBA1A;CAPN2;RAB8A;GABARAPL2;WIPI1;SDHD;TNFRSF1B;TNFRSF1A;PSMA3;UQCRC1;ND1;ND3;ND2;SQSTM1;ND5;ND4;ND6;BECN1;PSMD12;VCP;UQCRB;ATP8;ATP6;DERL1;TANK;ATXN3;PSMB5;ATXN1;COX3;COX2;COX1;FADD;PRNP;HSPA5;BRAF;ND4L;EIF2S1;MTOR;PSMC6;NDUFAB1;CHMP2B;CTNNB1;FAS;CYTB;CALM1;DNAL1
Pathogenic Escherichia coli infection	26/197	2.40632671264526e-05	0.000534944938426523	0	0	2.69656481158747	28.6774923533801	ARF1;ROCK1;BRK1;FASLG;ACTR3B;ACTG1;CDC42;CYTH2;PAK1;TUBA1A;RPS3;FYN;FADD;CYTH1;ACTR3;ARPC4;FOS;RHOA;TNFRSF1A;MYO1E;NCL;ABI1;FAS;MYH9;TMBIM6;ARHGEF2
Prion disease	32/273	3.38588966502157e-05	0.000677128312367709	0	0	2.35946796372552	24.2867322774875	ND6;PSMD12;UQCRB;ATP8;ATP6;PSMD6;TUBA1A;PSMB5;CCL5;COX3;RAC2;COX2;COX1;FYN;EGR1;HSPA8;PRNP;HSPA5;ND4L;SDHD;EIF2S1;PSMA3;PSMC6;NDUFAB1;UQCRC1;ND1;CYTB;ND3;ND2;ND5;HSPA1A;ND4
Salmonella infection	30/249	3.51450681159711e-05	0.000677128312367709	0	0	2.43245001235869	24.9472712009351	ARF1;RAB5C;HSP90AB1;BRK1;GCC2;ACTR3B;ACTG1;HSP90B1;DYNC2LI1;CDC42;CYTH2;PAK1;TUBA1A;AKT2;RPS3;SNX9;FADD;CYTH1;SKP1;ACTR3;DYNC1H1;HSP90AA1;ARPC4;FOS;DYNLL1;RHOA;TNFRSF1A;PTPRC;ABI1;CTNNB1
Diabetic cardiomyopathy	26/203	4.05925974010489e-05	0.000733203790556445	0	0	2.60432200717306	26.3347083904941	ND6;UQCRB;ATP8;ATP6;ATP2A3;AKT2;MPC2;COX3;RAC2;COX2;COX1;CTSD;GSR;ND4L;SDHD;MTOR;TGFBR2;SP1;NDUFAB1;UQCRC1;ND1;CYTB;ND3;ND2;ND5;ND4
Endocytosis	30/252	4.40614145930151e-05	0.000749044048081256	0	0	2.39919406586073	24.0637392066413	ARF1;RAB5C;VPS4B;CXCR4;CBLB;CBL;ACTR3B;CDC42;CYTH2;MVB12A;PIP5K1C;LDLRAP1;RAB8A;CYTH1;ACTR3;HSPA8;PDCD6IP;IQSEC3;HLA-C;ARPC4;HLA-A;HLA-G;RHOA;TGFBR2;RAB35;CHMP2B;IL2RB;MDM2;SMAP1;HSPA1A
Alzheimer disease	39/369	5.28861672538137e-05	0.000849116796464009	0	0	2.10406652734239	20.7195189521872	ND6;RTN3;BECN1;PSMD12;UQCRB;ATP8;ATP6;ATP2A3;IDE;RTN4;PSMD6;TUBA1A;PSMB5;AKT2;COX3;CAPN2;COX2;COX1;FADD;BRAF;ND4L;WIPI1;SDHD;EIF2S1;MTOR;TNFRSF1A;PSMA3;PSMC6;NDUFAB1;UQCRC1;CTNNB1;FAS;ND1;CYTB;CALM1;ND3;ND2;ND5;ND4
Measles	20/139	6.01235578902899e-05	0.000914510959489146	0	0	2.97208629453663	28.8860301042272	HSPA8;CDKN1B;MSN;TNFAIP3;CBLB;CD3G;FASLG;FOS;CD3E;EIF2S1;IFIH1;CCND3;AKT2;IL2RB;EIF3H;FAS;FADD;SLAMF1;JAK1;HSPA1A
Protein export	7/23	0.00015256089329712	0.00220450490814339	0	0	7.68511849442379	67.5364120296295	SRP19;IMMP2L;SPCS1;HSPA5;SRP68;SEC62;SEC11A
