Gene	Rank
PFKM	-0.0429459473401443
RBKS	-0.0435131253948822
FBP1	-0.043524560266547
ACADVL	-0.0435835458177073
SUCLG1	-0.0440496404719201
OGDH	-0.0444882256678129
TCIRG1	-0.0445504738565055
IPPK	-0.0445817054667987
NAGK	-0.0448062931431295
ATP5ME	-0.0448222100305749
NDUFA12	-0.0452920332051674
NDUFB7	-0.0455849133273102
NDUFV1	-0.0469626460934467
MDH2	-0.0471916889743641
PLCD1	-0.0473591019548473
NDUFB6	-0.0481615187972305
PPA2	-0.0486663020265414
CA8	-0.0492048471115991
ACSM3	-0.049234557208028
ECI1	-0.0497373901142016
ABAT	-0.0499428528857549
KHK	-0.050201917313376
NDUFA13	-0.0514842775493937
TIGAR	-0.0514902694402918
PFKFB2	-0.0515235031197949
AMT	-0.0515261399845242
GUSB	-0.0517973240498573
ECHDC1	-0.0518055044186049
NDUFA1	-0.0518214719466633
GAA	-0.0522758131403694
MTMR3	-0.0526232210722873
PI4K2B	-0.0535175790743204
FASN	-0.0535470990851333
SDHB	-0.0540161732274234
XYLB	-0.0546956848001931
ALDOA	-0.0547958271088386
GALK1	-0.0551252167914871
ETHE1	-0.0554257065135077
DLAT	-0.0555340443064455
PLCD3	-0.0556662408395581
DHDH	-0.0556663727225044
INPP5A	-0.0556684651163269
NDUFC1	-0.0557391770711033
ELOVL6	-0.0563990380782201
MCEE	-0.0564381201767553
PGD	-0.0571217942204024
G6PC3	-0.0572645349739828
MTMR2	-0.0578185358465474
PIP5K1C	-0.0584516192063823
PIP5KL1	-0.0595232564970338
CPT1B	-0.0595240380932198
DERA	-0.0596064217392108
GCDH	-0.0597507980298145
MDH1	-0.0605518673543367
H6PD	-0.0605744856846111
ADH5	-0.060918925152323
MTMR1	-0.061171043703188
DBT	-0.0621749197231062
SORD	-0.0624745319475959
NDUFS2	-0.0625839520004462
EHHADH	-0.0631462231569462
PFKFB4	-0.0631478899109122
ATP5PD	-0.0637411666106301
CYC1	-0.0650128279137059
LDHA	-0.0655081795579818
INPP5E	-0.0662596473710513
UQCRHL	-0.0665808128351247
NDUFS7	-0.0680955709263171
ATP6V1G2	-0.0698428493511529
COX15	-0.0712328800810014
HADH	-0.0713603388637311
NDUFB2	-0.0714370914422385
COX11	-0.0715527448841681
HACD3	-0.0721944177970511
HKDC1	-0.0729638700937305
ATP5PB	-0.0739068644821008
BDH2	-0.0739586337399073
FH	-0.075432815713348
ATP5F1A	-0.0755670614071744
NDUFS1	-0.0763274597216574
ATP5PF	-0.0763987942249711
UGDH	-0.0770503916453698
NANP	-0.0780302817272178
PGAM1	-0.0781268231620336
PDHB	-0.0782879299817767
PPT2	-0.0788453881369624
COX7A2	-0.0796836590459315
PGLS	-0.0802431964268783
PI4KB	-0.0816200536425427
ATP5F1D	-0.0839301205246773
CAT	-0.0841716813430373
UQCRH	-0.0842209955542615
SUOX	-0.0842253193334852
CA13	-0.0843266739568655
ACAA2	-0.0846965700741631
GPI	-0.0847987487562828
ATP5MC3	-0.0851244417625287
TKTL1	-0.0861751436048377
GMDS	-0.0864745080727655
PIK3CA	-0.0881376871136272
ATP6V0C	-0.0881575881312059
SUCLG2	-0.0894493578203932
PRPS2	-0.0903913707043921
MECR	-0.09108853054404
PIP5K1B	-0.0914734495413212
PC	-0.0919547492989195
NDUFB3	-0.0927479258435135
ENO2	-0.0931894044620586
ATP6V0E1	-0.0933894520008723
ACADS	-0.0940965174415981
COX10	-0.0945184884632922
NDUFA5	-0.0946669445271843
UQCR11	-0.096643326269546
UQCRC2	-0.0990702974590422
CYB5R4	-0.100079086294345
ACAA1	-0.100194141556765
MTM1	-0.102023197405245
UQCRB	-0.102034763715533
UGP2	-0.102046839494241
PRPS1	-0.102366786633251
ATP5F1B	-0.102560944039503
PYGM	-0.103463047962248
NANS	-0.103552678473734
HK2	-0.103977161627792
NDUFB1	-0.104634528857571
GMPPB	-0.105223976027605
NDUFB4	-0.105257959435279
PKM	-0.105991370573426
ATP5MC1	-0.106493005531787
IPMK	-0.106580336903519
PPT1	-0.107612628178408
ME1	-0.109021192721665
PAPSS1	-0.109566998012847
ACAT1	-0.110130492076623
NDUFB8	-0.110168002117702
ATP6V0D1	-0.110180963264504
COX7A2L	-0.110181000539293
IMPA2	-0.110249858864077
ATP6V0E2	-0.110627756942594
ATP6V1E2	-0.11118912887147
ATP5F1C	-0.111621018199599
DLST	-0.114830251879712
LHPP	-0.115855321203485
OXSM	-0.11607508605384
DCXR	-0.116181937128473
ACYP2	-0.117561381292805
TKT	-0.118115943263007
COX6C	-0.118319609191772
PFKL	-0.118892387762816
NPL	-0.119079354280406
PCK2	-0.119928628840409
HADHB	-0.121983093365437
RPIA	-0.122486137899318
MPST	-0.122629038187728
COX8A	-0.122689438780766
UQCRFS1	-0.123619059186389
COX5B	-0.126597819649664
MUT	-0.127317420872456
NDUFB5	-0.127980698366909
PFKFB3	-0.130047166520112
MTMR6	-0.130622042902214
ACOT7	-0.131923461409283
UXS1	-0.133475236567151
NDUFS6	-0.137777272181918
NDUFA11	-0.138825584972901
NDUFA4	-0.139562264571877
PYGB	-0.139716081796202
SDHC	-0.140025523219314
ACADM	-0.142587746093063
TALDO1	-0.146946145555764
CS	-0.147106893822681
COX7B	-0.148266326678668
PGM2	-0.148372394890057
PTEN	-0.149298723370759
NDUFAB1	-0.149599216368751
NDUFS5	-0.150345485612099
PGK1	-0.150695835874672
ATP6V1G1	-0.151219742809006
CA2	-0.151345488496615
ATP6V0A1	-0.15276160332917
PIK3C3	-0.153589323074636
NDUFA10	-0.154732061786939
IDH3A	-0.156292240883661
NDUFS3	-0.157644332865848
ATP5MC2	-0.158578230618842
PLCB1	-0.159045961912051
SYNJ2	-0.17072329732177
GNE	-0.172344222947077
TPI1	-0.174071742006983
ATP5MF	-0.174291855965309
GFPT2	-0.174627334817526
COX6B1	-0.176632705904778
HACD1	-0.179407381523845
HADHA	-0.181196359966021
ACSS2	-0.184593946203577
ACO1	-0.18475884881883
ALDH6A1	-0.186376201582121
ENO1	-0.190815431991404
ACSL1	-0.195424649583958
GLO1	-0.204913858754353
SHMT2	-0.206280232359571
GAPDH	-0.213347482319308
HYI	-0.217153145927444
GYS1	-0.230951633127651
COX7C	-0.23171949739374
ATP6V0B	-0.23224689605298
ATP5MG	-0.233312371831247
NDUFV2	-0.237861602517129
THEM4	-0.240894160128408
PPA1	-0.266534664901246
LDHB	-0.345447774566926
COX4I1	-0.347468655066412
