Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Terpenoid backbone biosynthesis	10/22	0.0324310662241077	0.0768155909914418	0	0	2.45425223802001	8.41474366656873	FDPS;IDI1;GGPS1;FNTA;FNTB;PDSS2;HMGCR;RCE1;ACAT2;PCYOX1
Focal adhesion	63/201	0.0324709438260353	0.0768155909914418	0	0	1.34724475718636	4.61755964889659	ITGB1;GSK3B;ILK;PIK3CD;ELK1;ACTB;ARHGAP35;CRKL;ACTG1;PPP1CC;CCND3;CCND2;AKT2;AKT3;RAC2;CAPN2;ITGAV;ITGB7;RAC1;HRAS;MAP2K1;PPP1R12A;ITGA4;PDPK1;ITGA1;RHOA;VAV1;ITGA5;TLN1;RAF1;SOS2;BIRC3;SHC4;ROCK1;SHC1;PIK3R3;XIAP;PIK3R1;THBS1;MYL12A;MYL12B;RAP1B;CDC42;PAK1;RAP1A;PIP5K1A;FLNA;MAPK1;PIP5K1B;FYN;PIP5K1C;PAK2;PAK4;VASP;JUN;PPP1CA;DIAPH1;PARVG;ZYX;BCL2;CTNNB1;GRB2;COL9A2
Cysteine and methionine metabolism	19/50	0.0329657934296025	0.0773915672462664	0	0	1.80597300660477	6.16249427189822	MPST;DNMT1;MDH1;MDH2;AMD1;DNMT3A;GOT2;APIP;MTR;MAT2B;SDSL;LDHB;TST;MAT2A;PSAT1;SMS;PHGDH;GCLM;ENOPH1
Inositol phosphate metabolism	26/73	0.0332026913107011	0.0773915672462664	0	0	1.63053410661901	5.55217137816486	MTMR2;INPP1;MTMR14;PIK3CD;PIK3C2A;PIK3CG;MTMR6;INPP5B;INPP5F;INPP5D;INPP5E;PLCG2;INPP5K;PIP5K1A;PIP4K2B;PIP5K1B;PIP4K2C;PIP5K1C;PLCG1;TPI1;IPMK;ITPK1;SYNJ2;INPP4B;PLCB2;PLCD1
RIG-I-like receptor signaling pathway	25/70	0.0351026859057478	0.0812230031541756	0	0	1.63739794458749	5.48442778665094	NLRX1;TNF;TANK;RELA;IKBKB;CASP8;TBK1;AZI2;IKBKE;ATG5;DDX58;TRAF2;ISG15;MAPK14;ATG12;MAPK12;NFKB1;NFKBIA;CYLD;MAPK11;MAVS;RNF125;TRAF6;IRF7;PIN1
Insulin resistance	36/108	0.03900538931764	0.0886833497650972	0	0	1.47419610956729	4.78237393063912	GSK3B;CRTC2;SLC27A1;PIK3R3;PIK3CD;PRKAG2;IRS2;PIK3R1;TNF;PRKCZ;FOXO1;RELA;IKBKB;PPP1CC;SOCS3;GYS1;AKT2;AKT3;RPS6KA1;CPT1A;PDPK1;PRKCD;PTPN11;PRKAB1;NFKB1;MTOR;TNFRSF1A;PPP1CA;NFKBIA;CREB1;RPS6KB1;PRKCQ;TRIB3;SLC27A2;SLC27A5;SLC27A4
Allograft rejection	15/38	0.0391661481612417	0.0886833497650972	0	0	1.92119941215397	6.22457557375269	HLA-DRB5;HLA-DRB4;PRF1;GZMB;HLA-C;FASLG;HLA-A;HLA-F;TNF;HLA-G;IL2;FAS;HLA-DRB3;HLA-DRB1;HLA-DQB1
Primary immunodeficiency	15/38	0.0391661481612417	0.0886833497650972	0	0	1.92119941215397	6.22457557375269	TAP2;TAP1;CD3E;IL2RG;CD3D;UNG;ZAP70;PTPRC;CD8B;CD8A;LCK;ORAI1;ICOS;IL7R;JAK3
Adherens junction	25/71	0.0414899742178029	0.0932788782059823	0	0	1.60169469632385	5.09707858365737	TCF7;WAS;PTPRJ;IQGAP1;ACTB;ACTG1;CDC42;RAC2;EP300;MAPK1;FYN;RAC1;ACP1;WASF2;TCF7L2;CREBBP;YES1;LMO7;BAIAP2;RHOA;TGFBR1;TGFBR2;CSNK2B;CTNNB1;PTPN6
HIF-1 signaling pathway	36/109	0.0444150176437057	0.099151835162357	0	0	1.45390375611109	4.52771455565534	CAMK2D;PFKFB3;CDKN1B;CUL2;PIK3R3;PIK3CD;ENO1;PIK3R1;PDHB;ENO2;HIF1A;RELA;HK1;LDHB;AKT2;MKNK1;AKT3;PGK1;PLCG2;EP300;MAPK1;PLCG1;TIMP1;VHL;CAMK2G;EGLN1;MAP2K1;CREBBP;RPS6;NFKB1;MTOR;PFKL;RPS6KB1;BCL2;EIF4E2;GAPDH
DNA replication	14/36	0.0514310878689281	0.114011572408743	0	0	1.87438016528926	5.56224650839274	RFC5;FEN1;RNASEH2B;PCNA;LIG1;PRIM1;RPA1;RPA2;POLD4;RPA3;POLD2;MCM3;MCM4;SSBP1
Fatty acid elongation	11/27	0.0579009689058283	0.127274498588958	0	0	2.02461485285404	5.76817055747846	HADHB;ELOVL1;HADHA;ACAA2;ECHS1;ACOT7;ELOVL5;TECR;ACOT2;PPT1;HSD17B12
Lysine degradation	22/63	0.0582170419413212	0.127274498588958	0	0	1.58097251993898	4.49561733286538	KMT2E;COLGALT2;SETD2;ECHS1;SETDB1;PHYKPL;EHMT2;SUV39H1;SETDB2;EHMT1;DLST;PLOD1;ASH1L;ACAT2;DHTKD1;ALDH3A2;HADHA;SMYD2;COLGALT1;DLD;EZH1;ALDH9A1
