Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Cytosolic DNA-sensing pathway	4/63	0.00797547531642214	0.0253414296344381	5.42676036929861	26.2187633898233	NFKBIA;CCL4L2;CCL5;CCL4	62	KEGG_2021_Human
Thermogenesis	8/232	0.00897582074338435	0.0280672489912177	2.88164108618654	13.581810996762	ACTB;ATP5F1E;COX7C;ATP5MG;RPS6;ACTG1;ATP5MC2;COX4I1	63	KEGG_2021_Human
Glycolysis / Gluconeogenesis	4/67	0.00987400589834056	0.0300017394421925	5.08117176409859	23.4640872106899	TPI1;ALDOA;LDHB;GAPDH	64	KEGG_2021_Human
C-type lectin receptor signaling pathway	5/104	0.00989905108498738	0.0300017394421925	4.05091733663162	18.6962651233476	CALM1;RHOA;JUN;NFKBIA;LSP1	65	KEGG_2021_Human
Chemokine signaling pathway	7/192	0.0106542966976953	0.031801461355242	3.04649093537982	13.8365282266101	CCL4L2;RHOA;NFKBIA;CXCR4;CCL5;CCL4;RAC2	66	KEGG_2021_Human
Amphetamine addiction	4/69	0.0109241670037813	0.0321203119364912	4.92432770481551	22.2420939964708	JUN;CALM1;FOS;FOSB	67	KEGG_2021_Human
HIF-1 signaling pathway	5/109	0.0119644994375203	0.033890937966491	3.85518053375196	17.0623019324273	RPS6;IFNG;ALDOA;LDHB;GAPDH	68	KEGG_2021_Human
MAPK signaling pathway	9/294	0.01196797455421	0.033890937966491	2.55055689015069	11.2875430380041	HSPA1A;HSPA1B;JUN;DUSP1;DUSP2;FOS;RAC2;NR4A1;HSPA8	69	KEGG_2021_Human
Adherens junction	4/71	0.0120438073830018	0.033890937966491	4.77684746996724	21.1098666054401	RHOA;ACTB;ACTG1;RAC2	70	KEGG_2021_Human
Cytokine-cytokine receptor interaction	9/295	0.0122145004853851	0.033890937966491	2.54150828424687	11.195678120772	IL32;CXCR4;CSF2;IL7R;CCL4L2;IFNG;LTB;CCL5;CCL4	71	KEGG_2021_Human
Toxoplasmosis	5/112	0.0133347594177807	0.0362758525253654	3.74651916841503	16.1751512842419	HSPA1A;HSPA1B;HSPA8;NFKBIA;IFNG	72	KEGG_2021_Human
Focal adhesion	7/201	0.0134423209865567	0.0362758525253654	2.90382249374231	12.5135795253585	MYL12B;ACTB;MYL12A;RHOA;JUN;RAC2;ACTG1	73	KEGG_2021_Human
