Gene	p_val	p_val_adj
IL2RB	2.06782071400029e-76	2.5655487876158e-74
PDLIM1	3.9787795823945e-76	4.90777835000475e-74
RPL13	2.16209634359908e-75	2.65150497258948e-73
PIK3R1	2.66003134311084e-75	3.24340373422066e-73
PTP4A2	3.01340949291719e-75	3.65328547438464e-73
FAM49A	8.59598764747144e-75	1.03620723823156e-72
BTN3A2	8.77624050711634e-75	1.05195886214113e-72
MYL12A	6.82189241782288e-74	8.13108255823203e-72
LAMP1	7.45406443939886e-74	8.83494028750202e-72
CD63	1.72246783066271e-73	2.03021541640778e-71
GPR114	1.8062687762953e-73	2.11722642861221e-71
CD40LG	6.05768912091314e-73	7.06153474666446e-71
DTHD1	1.77939387302616e-72	2.06293007705591e-70
FXYD5	2.61511716091933e-72	3.01534378728612e-70
PTPN6	3.51192520293706e-72	4.02751378948717e-70
LOC101927369	4.3835173118817e-72	5.00003781123022e-70
RPL10	9.23212541618498e-72	1.04742659267262e-69
JUNB	1.39342327245427e-71	1.57249298661648e-69
RAC2	3.09165351626617e-71	3.47050375667212e-69
MYO1G	4.09786171083975e-70	4.57580179248295e-68
LGALS1	6.01254767883572e-70	6.6786498195905e-68
RPS12	1.02259165095075e-68	1.12996377430058e-66
TGFBR3	1.24306317810734e-68	1.3664677920583e-66
PLA2G16	2.06318972494131e-68	2.25632129919355e-66
MAL	2.36600715096249e-68	2.57421578024719e-66
RPL32	5.74445763975906e-68	6.21808231046572e-66
TNFRSF4	7.36734232699413e-68	7.9342911070816e-66
SH2D1A	1.16751553498013e-67	1.25101058536053e-65
ARPC2	2.39133307606463e-67	2.54947349456217e-65
NR4A2	1.73815015013826e-66	1.84382967926667e-64
IRF1	2.20408707057381e-66	2.32646324822358e-64
STOM	1.41039604626981e-65	1.48133477810199e-63
HLA-DQB1	1.62728129079782e-65	1.70070935298358e-63
HLA-DRB1	4.09792682953673e-65	4.2618439027182e-63
TMEM255A	8.04048697345818e-65	8.32131568921409e-63
JUN	9.65942929232415e-65	9.94827436242472e-63
PTPRCAP	1.2009105936925e-64	1.23084633602802e-62
PPP2R2B	4.00055715527891e-64	4.08056829838449e-62
PPP1CA	4.05368392542661e-64	4.11497407472971e-62
PSMB9	8.84540033717429e-64	8.93638159778523e-62
PFN1	3.14023308771348e-63	3.15749692838527e-61
AQP3	2.03957342508648e-61	2.04111272578465e-59
CAPN2	3.66455354026588e-61	3.6501017798254e-59
MRPL10	9.82054551088682e-61	9.73610717565303e-59
ITGB7	1.26917087053858e-60	1.25240600880681e-58
SIGLEC9	2.25538723150106e-60	2.2152914584966e-58
ND5	2.67840880312175e-60	2.6186691782042e-58
TMCC3	3.35227228851242e-60	3.26246829693025e-58
NFKBIA	3.90040133893503e-60	3.77858058478747e-58
RAB27A	4.0548575025937e-60	3.91035712613763e-58
PLOD1	4.40276995938383e-60	4.22665916100847e-58
RHOA	5.02055352876065e-60	4.79802088586423e-58
ADAMTS6	2.14813257884442e-59	2.04371214317324e-57
EFNA5	8.17819941453583e-59	7.74592315976751e-57
CD4	1.24182904769111e-58	1.17096200336954e-56
RUNX3	1.46272448620654e-58	1.37314879200699e-56
CCR7	1.94510677729189e-58	1.81794649282047e-56
SH3BGRL3	2.25481956391717e-58	2.09816894158187e-56
HENMT1	3.09096320921141e-58	2.86366268325892e-56
MTSS1	8.8975572142233e-58	8.2074162546505e-56
PIK3IP1	1.62521450605916e-57	1.4926645437468e-55
CEP78	1.67388619473472e-57	1.5307400649781e-55
RNR1	5.55177056528277e-57	5.05520876879997e-55
PNRC1	6.8347506057162e-57	6.19684054918269e-55
SYTL3	1.07697939397855e-56	9.72306162665911e-55
LCP1	1.85263684029348e-56	1.66548911879943e-54
GK5	5.63572656575535e-56	5.04504535101542e-54
C10orf128	6.44846374431732e-56	5.74834482350573e-54
KIFC3	6.63286418528745e-56	5.8634519397941e-54
COX3	6.62136839241345e-56	5.8634519397941e-54
LSP1	6.73235192668605e-56	5.92670450110254e-54
AGTPBP1	1.93756750545665e-55	1.69865422296564e-53
HMGN3	2.3737512171544e-55	2.07248995156987e-53
GLIPR2	3.67361158933733e-55	3.19423538849921e-53
RPL21	4.30848435179643e-55	3.73097159215155e-53
GNB2	5.52997664259677e-55	4.769267660542e-53
CMKLR1	7.67227167597378e-55	6.59007756588905e-53
LOC102724797	9.02293160452878e-55	7.71897245651946e-53
NUCB2	1.15624278194968e-54	9.85174572764839e-53
TMEM109	1.23023645983987e-54	1.04402786927851e-52
MAP3K8	1.33100956972422e-54	1.12504777017008e-52
EMP3	2.41112841903924e-54	2.02994049755304e-52
COL6A2	3.8284512795801e-54	3.2104514761886e-52
AFAP1L2	4.2552079471953e-54	3.55427133101163e-52
FYN	4.42578350340737e-54	3.68225187483493e-52
VCAM1	6.14324444177082e-54	5.09121383111757e-52
MYL12B	1.63200458249071e-53	1.34726105922658e-51
PMP22	1.76188745698066e-53	1.44884512741479e-51
LINC00469	3.91240631740086e-53	3.2048499007713e-51
TNFRSF1A	4.33207448071918e-53	3.53497277626685e-51
RNPEPL1	7.00633310651503e-53	5.69526295738785e-51
FBLN7	7.84659446286662e-53	6.3539445848923e-51
LOC102723461	8.61476978755411e-53	6.94946600048472e-51
TSEN54	8.90500431711716e-53	7.15638528757416e-51
KRT83	1.17816460352159e-52	9.43243027483546e-51
UBE2E3	1.71910103896616e-52	1.37114464822203e-50
RGS3	2.1162911909895e-52	1.68161924749188e-50
SYNGR1	2.74501716991108e-52	2.17307030883707e-50
FCRL3	3.829615542667e-52	3.02041350755476e-50
PLEKHF1	4.418096796905e-52	3.47164228307913e-50
PDIA3	5.21119588749935e-52	4.07973180624303e-50
AKNA	5.60581115975076e-52	4.37253270460559e-50
CCR6	8.93383826086178e-52	6.9428685912983e-50
FEZ1	1.74544028684751e-51	1.35150588050207e-49
SH2D2A	1.84300742960718e-51	1.42186347732894e-49
RPL41	2.22982980345416e-51	1.71406047500302e-49
CTLA4	3.38644970106414e-51	2.59375151111108e-49
ANXA2	5.40718756345948e-51	4.1265788254085e-49
ICOS	7.64634787957894e-51	5.81451314025616e-49
RNF166	8.25495678998799e-51	6.25489868772804e-49
HAVCR2	8.38963362814852e-51	6.33432267098929e-49
PON2	1.53789733546721e-50	1.1570223357898e-48
IFNGR1	3.16155852257846e-50	2.37016344929416e-48
PLCG2	5.10775055571107e-50	3.81570548556218e-48
SUB1	8.97586978922278e-50	6.68182643677721e-48
TMEM171	1.46803127282535e-49	1.08901228965953e-47
VAMP2	3.64686284400065e-49	2.69588299994139e-47
RAB29	5.79528480283358e-49	4.2691931380874e-47
RPLP0	6.53682283626797e-49	4.79879699980143e-47
TSPAN32	7.321509871526e-49	5.35631563566536e-47
HLA-J	7.82205231430297e-49	5.70284061512893e-47
CLIC1	1.16684350749937e-48	8.44906206658927e-47
GUK1	1.16296321692411e-48	8.44906206658927e-47
HSPA1A	1.19277106050975e-48	8.60742544890303e-47
STYK1	1.37320234813235e-48	9.87588509083933e-47
PATL2	1.5672267251021e-48	1.1233203445867e-46
ND3	1.9108213952353e-48	1.3649827178893e-46
SETBP1	2.38148247740018e-48	1.69548765907792e-46
RNF187	2.98211698339849e-48	2.11600648561145e-46
DHRS7	5.89390548384935e-48	4.16816995817826e-46
LIM2	6.97424325537406e-48	4.89952135450385e-46
ANXA6	6.95742010919516e-48	4.89952135450385e-46
GPR183	8.77564405669894e-48	6.14468859098761e-46
FAM163B	1.32107891116282e-47	9.21974019053634e-46
PPP1R18	1.39776324388605e-47	9.7229327810775e-46
CAP1	1.57511285814264e-47	1.09207824831223e-45
CD69	2.77892532009167e-47	1.9204455892855e-45
LOC100996919	2.91143389328109e-47	2.0054864116835e-45
LYSMD2	3.19750276223596e-47	2.19541160529443e-45
ARHGAP25	3.3929650651021e-47	2.32210151036149e-45
PRSS30P	3.82592205415543e-47	2.6099923569441e-45
CDK2AP2	4.09439806693652e-47	2.78419068551683e-45
LYST	6.50069653367466e-47	4.40635072391187e-45
RPL18A	8.78587895651528e-47	5.93634420195631e-45
PPIA	9.61090359864988e-47	6.47317240472875e-45
ND2	2.48964187354859e-46	1.67152664522807e-44
RPL28	3.94040393138443e-46	2.63721166587546e-44
PRKCH	4.95358380430471e-46	3.30488157207952e-44
ND1	5.03834407637626e-46	3.35089366534165e-44
PXN	6.18781524883286e-46	4.10252150997619e-44
ZYX	1.55819114565958e-45	1.02986240954248e-43
KCNN3	2.03346212801375e-45	1.33981156856955e-43
RCBTB2	6.02720563001252e-45	3.95892243487138e-43
SRGAP3	6.79317764122535e-45	4.44827335914312e-43
IKZF3	8.3103644826774e-45	5.42500593429181e-43
AES	1.35855607508834e-44	8.84144959787554e-43
TRG-AS1	4.03351922247192e-44	2.61697687535059e-42
GNG2	4.21675179626702e-44	2.72751847895125e-42
TAPBP	4.24645393507537e-44	2.73838196615681e-42
CD3G	9.88674794980392e-44	6.35628013645576e-42
TNFRSF25	1.09464497916563e-43	7.0163105371535e-42
SHISA5	1.43054627813245e-43	9.14170778218618e-42
LINC00996	1.66759801458686e-43	1.06245523956381e-41
C5orf56	2.59779386887822e-43	1.6501435545545e-41
BIN1	3.28400194076875e-43	2.07980254254776e-41
ITPRIP	3.43980737241185e-43	2.17199265515148e-41
JAKMIP1	3.71284472819734e-43	2.33743957725326e-41
DUSP1	7.44256311782585e-43	4.67163961857376e-41
C11orf21	8.46534292261297e-43	5.29795620785123e-41
LOC101060038	8.68508582848923e-43	5.41949355697728e-41
MCTP2	1.09579800869706e-42	6.81772743475566e-41
RAB37	1.1183933494927e-42	6.93796295404597e-41
FTL	1.26528781853842e-42	7.82634004609652e-41
MAP2K3	1.36142659862088e-42	8.39651939428504e-41
FAM49B	3.93310183659987e-42	2.41868662508124e-40
SERPINB1	4.55537609298571e-42	2.79326182626546e-40
PSMB10	5.89317314773888e-42	3.60315739200081e-40
FAM173A	8.70744702644722e-42	5.30854011819265e-40
GPR65	9.65140219969914e-42	5.86716759509504e-40
ARHGAP9	1.07421447516273e-41	6.51158123001497e-40
GABARAPL1	1.33297456835389e-41	8.05709072427241e-40
KLF3	1.59692661392213e-41	9.62511222754883e-40
RAB1B	1.69100088820131e-41	1.01632506640451e-39
KRT81	1.73183006216044e-41	1.03792391522022e-39
RASAL3	1.93929391209516e-41	1.1589875954651e-39
SMIM10	3.12388052811909e-41	1.86169239563412e-39
TBC1D10C	4.13019539400902e-41	2.45451611986822e-39
PASK	4.14462666709291e-41	2.4562122728783e-39
GYG1	4.58263991245299e-41	2.70822530313656e-39
RPL36	5.12770388718318e-41	3.02192682417996e-39
SH3BP5	5.6973802979381e-41	3.34835513576329e-39
RAC1	5.77906535533298e-41	3.38697929775537e-39
SPOCK2	7.00051515955218e-41	4.09154076102091e-39
BIRC3	1.41499512524263e-40	8.24740015855706e-39
MYO1F	1.80491813127705e-40	1.04912720748421e-38
PPP3CC	2.12183944697655e-40	1.22997119418182e-38
CDC25B	2.12822468925353e-40	1.23031103561861e-38
SLAMF1	2.68861874468109e-40	1.55004715454223e-38
G6PD	2.97482822543677e-40	1.7104053016495e-38
SPRY2	3.24573674133772e-40	1.86112299200598e-38
PALLD	3.60236627142254e-40	2.06004859338276e-38
PTPRC	6.57786745184555e-40	3.75150634027837e-38
MAPRE2	7.06627051076613e-40	4.01924919990387e-38
SRSF2	7.41548203967605e-40	4.20660072068896e-38
RPS4X	7.6659071128584e-40	4.33706360817077e-38
MSN	8.95287374129531e-40	5.05170663019472e-38
LINC00152	2.81500059979581e-39	1.58416585478164e-37
SFRP2	3.1282990734953e-39	1.7558199244253e-37
NCF4	3.46563148889741e-39	1.94002210206985e-37
STK17A	3.93404507563276e-39	2.19643948222697e-37
ZAP70	5.57664575366151e-39	3.10535738345624e-37
PTPN12	6.68245790644391e-39	3.71138813987209e-37
PTPRE	7.30152978746862e-39	4.04462809323588e-37
DNAJB6	1.02790248918913e-38	5.67916125276992e-37
ARF6	1.1153914668954e-38	6.14653126276698e-37
CNBP	1.21537704901467e-38	6.68016566629409e-37
DBI	1.4947049545984e-38	8.19422747203089e-37
MYO6	1.71787116228254e-38	9.37341048743128e-37
IFITM1	1.71863531278788e-38	9.37341048743128e-37
RAP1GAP2	1.84156288138022e-38	1.00181020747084e-36
MAPK1	1.86892971397146e-38	1.01409751436365e-36
HNRNPF	2.30487529059833e-38	1.2474549531973e-36
TPM3	2.46135543285463e-38	1.3287561542861e-36
PDZD4	3.03567351805355e-38	1.63454137771269e-36
MYBL1	3.04319308162006e-38	1.63454137771269e-36
LOC101929531	6.67324263735084e-38	3.57524029782918e-36
KCNAB2	7.09143693675747e-38	3.78972105920016e-36
C9orf142	7.14858409039309e-38	3.81066231311005e-36
CAPG	1.30812357832079e-37	6.95567665104108e-36
GIMAP4	1.38006571542735e-37	7.31986855462666e-36
LAD1	1.65891608946192e-37	8.77694856708829e-36
KLF2	1.70804718260063e-37	9.01441020548632e-36
LCK	1.74086086852413e-37	9.16479012074637e-36
SRP14	1.90953843504984e-37	1.00279127321825e-35
PDGFD	3.08882314631108e-37	1.61808572523792e-35
ADAM8	3.6713596708613e-37	1.91851149697028e-35
NFATC3	4.4641748438404e-37	2.3270745328481e-35
ENPP5	4.54715108160885e-37	2.3645185624366e-35
NMRAL1	4.83307268886729e-37	2.50705306031806e-35
COL13A1	5.19173626958935e-37	2.68653357794165e-35
BLOC1S1	7.39174217049365e-37	3.81564968100227e-35
HLA-DMA	1.23407623159146e-36	6.35489352656416e-35
CRACR2B	1.42825105283211e-36	7.33699136486344e-35
CYTH4	1.65240828610387e-36	8.46799376762795e-35
TNFRSF18	1.98301517262778e-36	1.01377469644508e-34
TMEM123	2.22249185109753e-36	1.13347084405974e-34
IL6ST	2.34787016391088e-36	1.19454228771063e-34
RRAS2	3.04872430633707e-36	1.54740992543654e-34
ATP8B4	3.22738870443727e-36	1.63418326380289e-34
SNX9	4.27104104320668e-36	2.15748587553983e-34
CMTM3	4.48337034780659e-36	2.25936307123669e-34
GPR171	5.06674444032839e-36	2.54729976412339e-34
DDIT4	7.83090394946059e-36	3.92767040642449e-34
PRR5L	1.02723710778157e-35	5.14006190535229e-34
UQCRB	1.24380177327391e-35	6.20905845218334e-34
MFSD10	1.52938206903102e-35	7.6167535156249e-34
VNN2	1.65830882659773e-35	8.23950352812587e-34
TIMP1	1.75114272638675e-35	8.68043086051898e-34
TFDP2	2.50601291776074e-35	1.23933729751077e-33
CD320	2.62446138236093e-35	1.29489703925976e-33
TECR	2.8655265768213e-35	1.41055711957867e-33
CD28	3.04516705584227e-35	1.49551537631365e-33
AGTRAP	3.30520386618933e-35	1.61947356177997e-33
F2R	3.42226657682861e-35	1.67296791921649e-33
TAP1	5.65358685853722e-35	2.75739077679829e-33
S1PR4	8.25693079000196e-35	4.01786797341013e-33
YES1	9.72874243295401e-35	4.72322653220943e-33
RHOC	1.18401411915584e-34	5.73516976073296e-33
ZBTB38	1.36177603872791e-34	6.58119372156068e-33
CORO1A	1.37631934502096e-34	6.63636164181015e-33
BSG	1.38081446103578e-34	6.64293868601704e-33
ATP5D	1.52756938678742e-34	7.3323330565796e-33
CDC42	1.84845550932311e-34	8.85255803291174e-33
KIF21A	2.88390252403721e-34	1.37803774662102e-32
TRPV2	4.11032841526774e-34	1.95965680131057e-32
SIPA1	4.79675753366486e-34	2.28179389762856e-32
ASCL2	5.35242638448667e-34	2.54042680477112e-32
RHOBTB3	6.38878350781013e-34	3.02554533262722e-32
ITGA4	6.507934124231e-34	3.07510758083931e-32
CDC42SE1	8.42679682887301e-34	3.972953811586e-32
NDUFB7	1.01453338986284e-33	4.77258101980709e-32
SLA2	1.45282845457673e-33	6.81929391422565e-32
ARPC4	1.64493095284235e-33	7.70394152218616e-32
KLRB1	1.85479021270291e-33	8.66767161953855e-32
ACTB	3.56226166563091e-33	1.66103172523133e-31
C19orf66	4.50535230364068e-33	2.09617444022019e-31
ZFP36	5.09043821707492e-33	2.36321087994446e-31
IGFBP3	5.34663650923752e-33	2.47673013493413e-31
OASL	5.76423116351182e-33	2.66435573780102e-31
TRAPPC1	6.57155242556469e-33	3.0309142665387e-31
ABHD17A	8.43178604518661e-33	3.88045060161994e-31
PSMB8	9.326465227781e-33	4.28290662927709e-31
MOXD1	1.53376333089489e-32	7.02814747910714e-31
MIR181A2HG	1.61439444593371e-32	7.3816794320969e-31
SRSF9	1.63157193194969e-32	7.44417851790209e-31
P2RY8	1.86168190947042e-32	8.47584622131426e-31
APBA2	3.86335434662771e-32	1.75513759781699e-30
LOC400043	4.8891613372651e-32	2.21641980622685e-30
SLC25A20	6.55476123617812e-32	2.96515595707367e-30
PHEX	7.06841495990806e-32	3.19071259126403e-30
RCN2	7.4918488883064e-32	3.37467231452884e-30
FAM65B	9.4699133524762e-32	4.25664579843506e-30
