TCR_Cluster	n	Sample
S_215	4	LN1
S_229	4	LN1
S_363	4	LN1
S_432	4	LN1
S_524	4	LN1
S_553	4	LN1
S_726	4	LN1
S_758	4	LN1
S_771	4	LN1
S_83	4	LN1
S_84	4	LN1
S_86	4	LN1
S_916	4	LN1
S_94	4	LN1
S_95	4	LN1
S_96	4	LN1
M_118	3	LN1
S_100	3	LN1
S_1010	3	LN1
S_1022	3	LN1
S_1028	3	LN1
S_106	3	LN1
S_108	3	LN1
S_110	3	LN1
S_111	3	LN1
S_114	3	LN1
S_1172	3	LN1
S_1174	3	LN1
S_1183	3	LN1
S_123	3	LN1
S_124	3	LN1
S_128	3	LN1
S_132	3	LN1
S_134	3	LN1
S_136	3	LN1
S_143	3	LN1
S_1437	3	LN1
S_144	3	LN1
S_145	3	LN1
S_149	3	LN1
S_151	3	LN1
S_1514	3	LN1
S_152	3	LN1
S_1528	3	LN1
S_1556	3	LN1
S_1672	3	LN1
S_168	3	LN1
S_1684	3	LN1
S_181	3	LN1
S_183	3	LN1
S_184	3	LN1
S_188	3	LN1
S_191	3	LN1
S_201	3	LN1
S_202	3	LN1
S_203	3	LN1
S_207	3	LN1
S_220	3	LN1
S_263	3	LN1
S_310	3	LN1
S_340	3	LN1
S_376	3	LN1
S_390	3	LN1
S_434	3	LN1
S_470	3	LN1
S_521	3	LN1
S_583	3	LN1
S_762	3	LN1
S_796	3	LN1
S_946	3	LN1
S_947	3	LN1
S_969	3	LN1
S_99	3	LN1
M_121	2	LN1
M_26	2	LN1
M_37	2	LN1
S_1021	2	LN1
S_1023	2	LN1
S_1065	2	LN1
S_1073	2	LN1
S_1090	2	LN1
S_1141	2	LN1
S_1157	2	LN1
S_1170	2	LN1
S_1218	2	LN1
S_1219	2	LN1
S_1241	2	LN1
S_1281	2	LN1
S_1293	2	LN1
S_1301	2	LN1
S_1342	2	LN1
S_1346	2	LN1
S_1359	2	LN1
S_137	2	LN1
S_1370	2	LN1
S_138	2	LN1
S_1382	2	LN1
S_1383	2	LN1
S_139	2	LN1
S_1394	2	LN1
S_1395	2	LN1
S_1408	2	LN1
S_1409	2	LN1
S_1428	2	LN1
S_1434	2	LN1
S_1435	2	LN1
S_1444	2	LN1
S_146	2	LN1
S_1468	2	LN1
S_147	2	LN1
S_1475	2	LN1
S_148	2	LN1
S_150	2	LN1
S_1522	2	LN1
S_1524	2	LN1
S_153	2	LN1
S_1530	2	LN1
S_154	2	LN1
S_1543	2	LN1
S_155	2	LN1
S_1554	2	LN1
S_156	2	LN1
S_157	2	LN1
S_1578	2	LN1
S_1581	2	LN1
S_1582	2	LN1
S_160	2	LN1
S_1607	2	LN1
S_161	2	LN1
S_163	2	LN1
S_1638	2	LN1
S_164	2	LN1
S_1641	2	LN1
S_165	2	LN1
S_1650	2	LN1
S_167	2	LN1
S_1685	2	LN1
S_1687	2	LN1
S_169	2	LN1
S_1698	2	LN1
S_172	2	LN1
S_1735	2	LN1
S_174	2	LN1
S_1743	2	LN1
S_175	2	LN1
S_176	2	LN1
S_177	2	LN1
S_179	2	LN1
S_180	2	LN1
S_182	2	LN1
S_185	2	LN1
S_186	2	LN1
S_187	2	LN1
S_189	2	LN1
S_190	2	LN1
S_192	2	LN1
S_193	2	LN1
S_194	2	LN1
S_195	2	LN1
S_196	2	LN1
S_197	2	LN1
S_198	2	LN1
S_199	2	LN1
S_200	2	LN1
S_205	2	LN1
S_206	2	LN1
S_208	2	LN1
S_209	2	LN1
S_210	2	LN1
S_211	2	LN1
S_212	2	LN1
S_213	2	LN1
S_214	2	LN1
S_216	2	LN1
S_217	2	LN1
S_218	2	LN1
S_219	2	LN1
S_221	2	LN1
S_222	2	LN1
S_223	2	LN1
S_225	2	LN1
S_226	2	LN1
S_227	2	LN1
S_230	2	LN1
S_231	2	LN1
S_232	2	LN1
S_233	2	LN1
S_234	2	LN1
S_235	2	LN1
S_237	2	LN1
S_239	2	LN1
S_272	2	LN1
S_283	2	LN1
S_300	2	LN1
S_323	2	LN1
S_335	2	LN1
S_341	2	LN1
S_353	2	LN1
S_359	2	LN1
S_385	2	LN1
S_403	2	LN1
S_406	2	LN1
S_430	2	LN1
S_446	2	LN1
S_487	2	LN1
S_488	2	LN1
S_499	2	LN1
S_520	2	LN1
S_546	2	LN1
S_561	2	LN1
S_564	2	LN1
S_565	2	LN1
S_587	2	LN1
S_619	2	LN1
S_651	2	LN1
S_695	2	LN1
S_697	2	LN1
S_714	2	LN1
S_731	2	LN1
S_770	2	LN1
S_820	2	LN1
S_824	2	LN1
S_829	2	LN1
S_843	2	LN1
S_919	2	LN1
S_933	2	LN1
S_934	2	LN1
S_949	2	LN1
S_957	2	LN1
S_976	2	LN1
S_980	2	LN1
M_101	1	LN1
M_102	1	LN1
M_104	1	LN1
M_106	1	LN1
M_113	1	LN1
M_12	1	LN1
M_124	1	LN1
M_134	1	LN1
M_137	1	LN1
M_14	1	LN1
M_18	1	LN1
M_2	1	LN1
M_23	1	LN1
M_46	1	LN1
M_5	1	LN1
M_59	1	LN1
M_60	1	LN1
M_61	1	LN1
M_72	1	LN1
M_73	1	LN1
M_81	1	LN1
M_84	1	LN1
M_88	1	LN1
S_1000	1	LN1
S_1001	1	LN1
S_1002	1	LN1
S_1003	1	LN1
S_1004	1	LN1
S_1005	1	LN1
S_1006	1	LN1
S_1007	1	LN1
S_1008	1	LN1
S_1009	1	LN1
S_1011	1	LN1
S_1012	1	LN1
S_1013	1	LN1
S_1014	1	LN1
S_1015	1	LN1
S_1016	1	LN1
S_1017	1	LN1
S_1018	1	LN1
S_1019	1	LN1
S_1020	1	LN1
S_1024	1	LN1
S_1025	1	LN1
S_1026	1	LN1
S_1027	1	LN1
S_1029	1	LN1
S_1030	1	LN1
S_1031	1	LN1
S_1032	1	LN1
S_1033	1	LN1
S_1034	1	LN1
S_1035	1	LN1
S_1036	1	LN1
S_1037	1	LN1
S_1038	1	LN1
S_1039	1	LN1
S_1040	1	LN1
S_1041	1	LN1
S_1042	1	LN1
S_1043	1	LN1
S_1044	1	LN1
S_1045	1	LN1
S_1046	1	LN1
S_1047	1	LN1
S_1048	1	LN1
S_1049	1	LN1
S_1050	1	LN1
S_1051	1	LN1
S_1052	1	LN1
S_1053	1	LN1
S_1054	1	LN1
S_1055	1	LN1
S_1056	1	LN1
S_1057	1	LN1
S_1058	1	LN1
S_1059	1	LN1
S_1060	1	LN1
S_1061	1	LN1
S_1062	1	LN1
S_1063	1	LN1
S_1064	1	LN1
S_1066	1	LN1
S_1067	1	LN1
S_1068	1	LN1
S_1069	1	LN1
S_1070	1	LN1
S_1071	1	LN1
S_1072	1	LN1
S_1074	1	LN1
S_1075	1	LN1
S_1076	1	LN1
S_1077	1	LN1
S_1078	1	LN1
S_1079	1	LN1
S_1080	1	LN1
S_1081	1	LN1
S_1082	1	LN1
S_1083	1	LN1
S_1084	1	LN1
S_1085	1	LN1
S_1086	1	LN1
S_1087	1	LN1
S_1088	1	LN1
S_1089	1	LN1
S_1091	1	LN1
S_1092	1	LN1
S_1093	1	LN1
S_1094	1	LN1
S_1095	1	LN1
S_1096	1	LN1
S_1097	1	LN1
S_1098	1	LN1
S_1099	1	LN1
S_1100	1	LN1
S_1101	1	LN1
S_1102	1	LN1
S_1103	1	LN1
S_1104	1	LN1
S_1105	1	LN1
S_1106	1	LN1
S_1107	1	LN1
S_1108	1	LN1
S_1109	1	LN1
S_1110	1	LN1
S_1111	1	LN1
S_1112	1	LN1
S_1113	1	LN1
S_1114	1	LN1
S_1115	1	LN1
S_1117	1	LN1
S_1118	1	LN1
S_1119	1	LN1
S_1120	1	LN1
S_1121	1	LN1
S_1122	1	LN1
S_1123	1	LN1
S_1124	1	LN1
S_1125	1	LN1
S_1126	1	LN1
S_1128	1	LN1
S_1129	1	LN1
S_1130	1	LN1
S_1131	1	LN1
S_1132	1	LN1
S_1133	1	LN1
S_1134	1	LN1
S_1135	1	LN1
S_1136	1	LN1
S_1137	1	LN1
S_1138	1	LN1
S_1139	1	LN1
S_1140	1	LN1
S_1142	1	LN1
S_1144	1	LN1
S_1145	1	LN1
S_1147	1	LN1
S_1148	1	LN1
S_1149	1	LN1
S_1150	1	LN1
S_1151	1	LN1
S_1152	1	LN1
S_1153	1	LN1
S_1154	1	LN1
S_1155	1	LN1
S_1156	1	LN1
S_1158	1	LN1
S_1159	1	LN1
S_1160	1	LN1
S_1161	1	LN1
S_1162	1	LN1
S_1163	1	LN1
S_1164	1	LN1
S_1165	1	LN1
S_1166	1	LN1
S_1167	1	LN1
S_1168	1	LN1
S_1169	1	LN1
S_1171	1	LN1
S_1173	1	LN1
S_1175	1	LN1
S_1176	1	LN1
S_1177	1	LN1
S_1178	1	LN1
S_1179	1	LN1
S_1180	1	LN1
S_1181	1	LN1
S_1182	1	LN1
S_1184	1	LN1
S_1185	1	LN1
S_1186	1	LN1
S_1187	1	LN1
S_1188	1	LN1
S_1189	1	LN1
S_1190	1	LN1
S_1191	1	LN1
S_1192	1	LN1
S_1193	1	LN1
S_1194	1	LN1
S_1195	1	LN1
S_1196	1	LN1
S_1197	1	LN1
S_1198	1	LN1
S_1199	1	LN1
S_1200	1	LN1
S_1201	1	LN1
S_1202	1	LN1
S_1203	1	LN1
S_1204	1	LN1
S_1205	1	LN1
S_1206	1	LN1
S_1207	1	LN1
S_1208	1	LN1
S_1209	1	LN1
S_1210	1	LN1
S_1211	1	LN1
S_1212	1	LN1
S_1213	1	LN1
S_1214	1	LN1
S_1215	1	LN1
S_1216	1	LN1
S_1217	1	LN1
S_1220	1	LN1
S_1221	1	LN1
S_1222	1	LN1
S_1223	1	LN1
S_1224	1	LN1
S_1225	1	LN1
S_1226	1	LN1
S_1227	1	LN1
S_1228	1	LN1
S_1229	1	LN1
S_1230	1	LN1
S_1231	1	LN1
S_1232	1	LN1
S_1233	1	LN1
S_1234	1	LN1
S_1235	1	LN1
S_1236	1	LN1
S_1237	1	LN1
S_1238	1	LN1
S_1239	1	LN1
S_1242	1	LN1
S_1243	1	LN1
S_1244	1	LN1
S_1245	1	LN1
S_1246	1	LN1
S_1247	1	LN1
S_1248	1	LN1
S_1249	1	LN1
S_1250	1	LN1
S_1251	1	LN1
S_1252	1	LN1
S_1253	1	LN1
S_1254	1	LN1
S_1255	1	LN1
S_1256	1	LN1
S_1257	1	LN1
S_1258	1	LN1
S_1259	1	LN1
S_1260	1	LN1
S_1261	1	LN1
S_1262	1	LN1
S_1263	1	LN1
S_1264	1	LN1
S_1265	1	LN1
S_1266	1	LN1
S_1267	1	LN1
S_1268	1	LN1
S_1269	1	LN1
S_1270	1	LN1
S_1271	1	LN1
S_1272	1	LN1
S_1273	1	LN1
S_1274	1	LN1
S_1276	1	LN1
S_1277	1	LN1
S_1278	1	LN1
S_1279	1	LN1
S_1280	1	LN1
S_1282	1	LN1
S_1283	1	LN1
S_1284	1	LN1
S_1285	1	LN1
S_1286	1	LN1
S_1287	1	LN1
S_1288	1	LN1
S_1289	1	LN1
S_1290	1	LN1
S_1291	1	LN1
S_1294	1	LN1
S_1295	1	LN1
S_1296	1	LN1
S_1297	1	LN1
S_1298	1	LN1
S_1299	1	LN1
S_1300	1	LN1
S_1302	1	LN1
S_1303	1	LN1
S_1304	1	LN1
S_1305	1	LN1
S_1306	1	LN1
S_1307	1	LN1
S_1308	1	LN1
S_1309	1	LN1
S_1310	1	LN1
S_1311	1	LN1
S_1312	1	LN1
S_1313	1	LN1
S_1314	1	LN1
S_1315	1	LN1
S_1317	1	LN1
S_1318	1	LN1
S_1319	1	LN1
S_1320	1	LN1
S_1322	1	LN1
S_1324	1	LN1
S_1325	1	LN1
S_1326	1	LN1
S_1327	1	LN1
S_1328	1	LN1
S_1330	1	LN1
S_1331	1	LN1
S_1332	1	LN1
S_1333	1	LN1
S_1334	1	LN1
S_1335	1	LN1
S_1336	1	LN1
S_1337	1	LN1
S_1338	1	LN1
S_1339	1	LN1
S_1340	1	LN1
S_1341	1	LN1
S_1343	1	LN1
S_1344	1	LN1
S_1345	1	LN1
S_1347	1	LN1
S_1348	1	LN1
S_1349	1	LN1
S_1350	1	LN1
S_1351	1	LN1
S_1352	1	LN1
S_1353	1	LN1
S_1354	1	LN1
S_1355	1	LN1
S_1356	1	LN1
S_1357	1	LN1
S_1358	1	LN1
S_1360	1	LN1
S_1362	1	LN1
S_1363	1	LN1
S_1364	1	LN1
S_1365	1	LN1
S_1366	1	LN1
S_1367	1	LN1
S_1368	1	LN1
S_1369	1	LN1
S_1371	1	LN1
S_1373	1	LN1
S_1374	1	LN1
S_1375	1	LN1
S_1376	1	LN1
S_1377	1	LN1
S_1378	1	LN1
S_1379	1	LN1
S_1380	1	LN1
S_1381	1	LN1
S_1384	1	LN1
S_1385	1	LN1
S_1386	1	LN1
S_1387	1	LN1
S_1388	1	LN1
S_1389	1	LN1
S_1390	1	LN1
S_1391	1	LN1
S_1392	1	LN1
S_1393	1	LN1
S_1396	1	LN1
S_1397	1	LN1
S_1398	1	LN1
S_1399	1	LN1
S_1400	1	LN1
S_1401	1	LN1
S_1402	1	LN1
S_1403	1	LN1
S_1404	1	LN1
S_1405	1	LN1
S_1406	1	LN1
S_1407	1	LN1
S_1410	1	LN1
S_1411	1	LN1
S_1412	1	LN1
S_1413	1	LN1
S_1414	1	LN1
S_1415	1	LN1
S_1416	1	LN1
S_1417	1	LN1
S_1418	1	LN1
S_1419	1	LN1
S_1420	1	LN1
S_1421	1	LN1
S_1422	1	LN1
S_1423	1	LN1
S_1424	1	LN1
S_1425	1	LN1
S_1426	1	LN1
S_1427	1	LN1
S_1429	1	LN1
S_1430	1	LN1
S_1431	1	LN1
S_1432	1	LN1
S_1433	1	LN1
S_1436	1	LN1
S_1438	1	LN1
S_1439	1	LN1
S_1440	1	LN1
S_1441	1	LN1
S_1442	1	LN1
S_1445	1	LN1
S_1447	1	LN1
S_1448	1	LN1
S_1449	1	LN1
S_1450	1	LN1
S_1451	1	LN1
S_1452	1	LN1
S_1453	1	LN1
S_1454	1	LN1
S_1455	1	LN1
S_1456	1	LN1
S_1457	1	LN1
S_1458	1	LN1
S_1459	1	LN1
S_1460	1	LN1
S_1461	1	LN1
S_1462	1	LN1
S_1463	1	LN1
S_1464	1	LN1
S_1465	1	LN1
S_1466	1	LN1
S_1467	1	LN1
S_1469	1	LN1
S_1470	1	LN1
S_1471	1	LN1
S_1472	1	LN1
S_1473	1	LN1
S_1474	1	LN1
S_1476	1	LN1
S_1477	1	LN1
S_1478	1	LN1
S_1479	1	LN1
S_1480	1	LN1
S_1481	1	LN1
S_1482	1	LN1
S_1483	1	LN1
S_1484	1	LN1
S_1485	1	LN1
S_1486	1	LN1
S_1487	1	LN1
S_1488	1	LN1
S_1489	1	LN1
S_1490	1	LN1
S_1491	1	LN1
S_1492	1	LN1
S_1493	1	LN1
S_1494	1	LN1
S_1495	1	LN1
S_1496	1	LN1
S_1497	1	LN1
S_1498	1	LN1
S_1499	1	LN1
S_1500	1	LN1
S_1501	1	LN1
S_1502	1	LN1
S_1503	1	LN1
S_1504	1	LN1
S_1505	1	LN1
S_1506	1	LN1
S_1507	1	LN1
S_1508	1	LN1
S_1509	1	LN1
S_1510	1	LN1
S_1511	1	LN1
S_1512	1	LN1
S_1513	1	LN1
S_1515	1	LN1
S_1516	1	LN1
S_1517	1	LN1
S_1518	1	LN1
S_1519	1	LN1
S_1520	1	LN1
S_1521	1	LN1
S_1523	1	LN1
S_1525	1	LN1
S_1526	1	LN1
S_1527	1	LN1
S_1529	1	LN1
S_1531	1	LN1
S_1532	1	LN1
S_1533	1	LN1
S_1534	1	LN1
S_1535	1	LN1
S_1536	1	LN1
S_1538	1	LN1
S_1539	1	LN1
S_1540	1	LN1
S_1541	1	LN1
S_1542	1	LN1
S_1544	1	LN1
S_1546	1	LN1
S_1547	1	LN1
S_1548	1	LN1
S_1550	1	LN1
S_1551	1	LN1
S_1552	1	LN1
S_1553	1	LN1
S_1555	1	LN1
S_1557	1	LN1
S_1558	1	LN1
S_1559	1	LN1
S_1560	1	LN1
S_1562	1	LN1
S_1563	1	LN1
S_1564	1	LN1
S_1565	1	LN1
S_1566	1	LN1
S_1567	1	LN1
S_1568	1	LN1
S_1569	1	LN1
S_1570	1	LN1
S_1571	1	LN1
S_1572	1	LN1
S_1573	1	LN1
S_1574	1	LN1
S_1575	1	LN1
S_1576	1	LN1
S_1577	1	LN1
S_1579	1	LN1
S_1580	1	LN1
S_1583	1	LN1
S_1584	1	LN1
S_1585	1	LN1
S_1586	1	LN1
S_1587	1	LN1
S_1588	1	LN1
S_1589	1	LN1
S_1590	1	LN1
S_1591	1	LN1
S_1592	1	LN1
S_1593	1	LN1
S_1594	1	LN1
S_1596	1	LN1
S_1597	1	LN1
S_1598	1	LN1
S_1599	1	LN1
S_1600	1	LN1
S_1601	1	LN1
S_1602	1	LN1
S_1603	1	LN1
S_1604	1	LN1
S_1605	1	LN1
S_1606	1	LN1
S_1608	1	LN1
S_1609	1	LN1
S_1610	1	LN1
S_1611	1	LN1
S_1612	1	LN1
S_1613	1	LN1
S_1614	1	LN1
S_1615	1	LN1
S_1616	1	LN1
S_1617	1	LN1
S_1618	1	LN1
S_1619	1	LN1
S_1620	1	LN1
S_1621	1	LN1
S_1622	1	LN1
S_1623	1	LN1
S_1624	1	LN1
S_1625	1	LN1
S_1626	1	LN1
S_1627	1	LN1
S_1628	1	LN1
S_1629	1	LN1
S_1630	1	LN1
S_1631	1	LN1
S_1632	1	LN1
S_1633	1	LN1
S_1634	1	LN1
S_1635	1	LN1
S_1636	1	LN1
S_1637	1	LN1
S_1639	1	LN1
S_1640	1	LN1
S_1642	1	LN1
S_1643	1	LN1
S_1644	1	LN1
S_1645	1	LN1
S_1646	1	LN1
S_1648	1	LN1
S_1649	1	LN1
S_1651	1	LN1
S_1653	1	LN1
S_1654	1	LN1
S_1655	1	LN1
S_1656	1	LN1
S_1657	1	LN1
S_1658	1	LN1
S_1659	1	LN1
S_1660	1	LN1
S_1661	1	LN1
S_1662	1	LN1
S_1663	1	LN1
S_1664	1	LN1
S_1665	1	LN1
S_1666	1	LN1
S_1668	1	LN1
S_1669	1	LN1
S_1670	1	LN1
S_1671	1	LN1
S_1673	1	LN1
S_1674	1	LN1
S_1675	1	LN1
S_1677	1	LN1
S_1678	1	LN1
S_1679	1	LN1
S_1680	1	LN1
S_1681	1	LN1
S_1682	1	LN1
S_1683	1	LN1
S_1686	1	LN1
S_1688	1	LN1
S_1689	1	LN1
S_1690	1	LN1
S_1691	1	LN1
S_1693	1	LN1
S_1694	1	LN1
S_1695	1	LN1
S_1696	1	LN1
S_1697	1	LN1
S_1699	1	LN1
S_1700	1	LN1
S_1701	1	LN1
S_1702	1	LN1
S_1703	1	LN1
S_1704	1	LN1
S_1705	1	LN1
S_1706	1	LN1
S_1707	1	LN1
S_1708	1	LN1
S_1709	1	LN1
S_1710	1	LN1
S_1711	1	LN1
S_1712	1	LN1
S_1713	1	LN1
S_1714	1	LN1
S_1715	1	LN1
S_1716	1	LN1
S_1717	1	LN1
S_1718	1	LN1
S_1719	1	LN1
S_1720	1	LN1
S_1721	1	LN1
S_1722	1	LN1
S_1723	1	LN1
S_1724	1	LN1
S_1725	1	LN1
S_1727	1	LN1
S_1728	1	LN1
S_1729	1	LN1
S_1730	1	LN1
S_1731	1	LN1
S_1732	1	LN1
S_1733	1	LN1
S_1736	1	LN1
S_1738	1	LN1
S_1740	1	LN1
S_1741	1	LN1
S_1742	1	LN1
S_1744	1	LN1
S_1746	1	LN1
S_1747	1	LN1
S_1749	1	LN1
S_1750	1	LN1
S_1751	1	LN1
S_1752	1	LN1
S_1753	1	LN1
S_1754	1	LN1
S_1756	1	LN1
S_1757	1	LN1
S_1758	1	LN1
S_1762	1	LN1
S_1764	1	LN1
S_1765	1	LN1
S_1766	1	LN1
S_1767	1	LN1
S_1768	1	LN1
S_240	1	LN1
S_241	1	LN1
S_242	1	LN1
S_243	1	LN1
S_244	1	LN1
S_245	1	LN1
S_246	1	LN1
S_247	1	LN1
S_248	1	LN1
S_249	1	LN1
S_250	1	LN1
S_251	1	LN1
S_252	1	LN1
S_253	1	LN1
S_254	1	LN1
S_255	1	LN1
S_256	1	LN1
S_257	1	LN1
S_258	1	LN1
S_259	1	LN1
S_260	1	LN1
S_261	1	LN1
S_262	1	LN1
S_264	1	LN1
S_265	1	LN1
S_266	1	LN1
S_267	1	LN1
S_268	1	LN1
S_270	1	LN1
S_271	1	LN1
S_273	1	LN1
S_274	1	LN1
S_275	1	LN1
S_276	1	LN1
S_277	1	LN1
S_278	1	LN1
S_279	1	LN1
S_280	1	LN1
S_281	1	LN1
S_282	1	LN1
S_284	1	LN1
S_285	1	LN1
S_286	1	LN1
S_287	1	LN1
S_288	1	LN1
S_289	1	LN1
S_290	1	LN1
S_291	1	LN1
S_292	1	LN1
S_293	1	LN1
S_294	1	LN1
S_295	1	LN1
S_296	1	LN1
S_297	1	LN1
S_298	1	LN1
S_299	1	LN1
S_301	1	LN1
S_302	1	LN1
S_303	1	LN1
S_304	1	LN1
S_305	1	LN1
S_306	1	LN1
S_307	1	LN1
S_308	1	LN1
S_309	1	LN1
S_311	1	LN1
S_312	1	LN1
S_313	1	LN1
S_314	1	LN1
S_315	1	LN1
S_316	1	LN1
S_317	1	LN1
S_319	1	LN1
S_320	1	LN1
S_321	1	LN1
S_322	1	LN1
S_324	1	LN1
S_325	1	LN1
S_326	1	LN1
S_327	1	LN1
S_328	1	LN1
S_329	1	LN1
S_330	1	LN1
S_331	1	LN1
S_332	1	LN1
S_333	1	LN1
S_334	1	LN1
S_336	1	LN1
S_337	1	LN1
S_339	1	LN1
S_342	1	LN1
S_343	1	LN1
S_344	1	LN1
S_346	1	LN1
S_347	1	LN1
S_348	1	LN1
S_349	1	LN1
S_350	1	LN1
S_351	1	LN1
S_352	1	LN1
S_354	1	LN1
S_355	1	LN1
S_356	1	LN1
S_357	1	LN1
S_358	1	LN1
S_360	1	LN1
S_362	1	LN1
S_364	1	LN1
S_365	1	LN1
S_366	1	LN1
S_367	1	LN1
S_368	1	LN1
S_369	1	LN1
S_370	1	LN1
S_371	1	LN1
S_372	1	LN1
S_373	1	LN1
S_374	1	LN1
S_375	1	LN1
S_377	1	LN1
S_378	1	LN1
S_379	1	LN1
S_380	1	LN1
S_381	1	LN1
S_383	1	LN1
S_384	1	LN1
S_386	1	LN1
S_387	1	LN1
S_388	1	LN1
S_389	1	LN1
S_391	1	LN1
S_392	1	LN1
S_393	1	LN1
S_395	1	LN1
S_396	1	LN1
S_397	1	LN1
S_398	1	LN1
S_399	1	LN1
S_400	1	LN1
S_401	1	LN1
S_402	1	LN1
S_404	1	LN1
S_405	1	LN1
S_407	1	LN1
S_408	1	LN1
S_409	1	LN1
S_410	1	LN1
S_411	1	LN1
S_412	1	LN1
S_413	1	LN1
S_414	1	LN1
S_415	1	LN1
S_416	1	LN1
S_417	1	LN1
S_418	1	LN1
S_419	1	LN1
S_420	1	LN1
S_421	1	LN1
S_422	1	LN1
S_423	1	LN1
S_424	1	LN1
S_425	1	LN1
S_426	1	LN1
S_427	1	LN1
S_428	1	LN1
S_429	1	LN1
S_431	1	LN1
S_433	1	LN1
S_435	1	LN1
S_436	1	LN1
S_437	1	LN1
S_439	1	LN1
S_440	1	LN1
S_441	1	LN1
S_442	1	LN1
S_443	1	LN1
S_444	1	LN1
S_445	1	LN1
S_447	1	LN1
S_448	1	LN1
S_449	1	LN1
S_450	1	LN1
S_451	1	LN1
S_452	1	LN1
S_453	1	LN1
S_454	1	LN1
S_455	1	LN1
S_456	1	LN1
S_457	1	LN1
S_458	1	LN1
S_459	1	LN1
S_460	1	LN1
S_461	1	LN1
S_462	1	LN1
S_463	1	LN1
S_464	1	LN1
S_465	1	LN1
S_466	1	LN1
S_467	1	LN1
S_468	1	LN1
S_469	1	LN1
S_471	1	LN1
S_472	1	LN1
S_473	1	LN1
S_474	1	LN1
S_475	1	LN1
S_476	1	LN1
S_477	1	LN1
S_478	1	LN1
S_479	1	LN1
S_480	1	LN1
S_481	1	LN1
S_482	1	LN1
S_483	1	LN1
S_484	1	LN1
S_485	1	LN1
S_486	1	LN1
S_489	1	LN1
S_490	1	LN1
S_491	1	LN1
S_492	1	LN1
S_493	1	LN1
S_494	1	LN1
S_495	1	LN1
S_496	1	LN1
S_497	1	LN1
S_498	1	LN1
S_500	1	LN1
S_501	1	LN1
S_502	1	LN1
S_503	1	LN1
S_504	1	LN1
S_505	1	LN1
S_506	1	LN1
S_507	1	LN1
S_508	1	LN1
