Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Hypertrophic cardiomyopathy	2/90	0.310490083432461	0.491185131987418	1.80186950146628	2.10747254307491	ACTB;ACTG1	122	KEGG_2021_Human
Hepatitis C	3/157	0.313051839597233	0.491211423107854	1.54550712445449	1.79493107976414	NFKBIA;YWHAB;YWHAZ	123	KEGG_2021_Human
GnRH signaling pathway	2/93	0.324274845823062	0.504718106805249	1.74220134704006	1.96200414720053	JUN;CALM1	124	KEGG_2021_Human
Dilated cardiomyopathy	2/96	0.337988520364655	0.514380199053224	1.68634179821551	1.82924804721546	ACTB;ACTG1	125	KEGG_2021_Human
Base excision repair	1/33	0.33994647898697	0.514380199053224	2.47464859437751	2.67006438895378	HMGB1	126	KEGG_2021_Human
Fructose and mannose metabolism	1/33	0.33994647898697	0.514380199053224	2.47464859437751	2.67006438895378	TPI1	126	KEGG_2021_Human
Circadian entrainment	2/97	0.342541563382895	0.514380199053224	1.66850594227504	1.78757432333438	CALM1;FOS	128	KEGG_2021_Human
Wnt signaling pathway	3/166	0.343808526828321	0.514380199053224	1.45950175107424	1.55826679593718	RHOA;JUN;RAC2	129	KEGG_2021_Human
Aldosterone synthesis and secretion	2/98	0.347084710077059	0.515287300345173	1.65104166666667	1.74710984999589	CALM1;NR4A2	130	KEGG_2021_Human
Chemical carcinogenesis	4/239	0.349910339527627	0.515516759762077	1.35028541774779	1.41790545661988	JUN;FOS;HSP90AA1;HSP90AB1	131	KEGG_2021_Human
Calcium signaling pathway	4/240	0.352745424847174	0.515756568147762	1.34449497037343	1.40097540015879	CALM1;CXCR4;SLC25A6;SLC25A5	132	KEGG_2021_Human
Progesterone-mediated oocyte maturation	2/100	0.356139474860307	0.516803899609317	1.61718235681369	1.66963217593623	HSP90AA1;HSP90AB1	133	KEGG_2021_Human
Tyrosine metabolism	1/36	0.364431477160063	0.522028207370982	2.26219162363741	2.28349408615211	MIF	134	KEGG_2021_Human
Longevity regulating pathway	2/102	0.365149264223226	0.522028207370982	1.58467741935484	1.59648178590839	HSPA1B;HSPA8	135	KEGG_2021_Human
Vasopressin-regulated water reabsorption	1/44	0.425391319991159	0.603680329105101	1.8405715886803	1.57322079963017	ARHGDIB	136	KEGG_2021_Human
Growth hormone synthesis, secretion and action	2/119	0.439491795697457	0.610516465968439	1.35325337744693	1.11255862913834	JUNB;FOS	137	KEGG_2021_Human
Sphingolipid signaling pathway	2/119	0.439491795697457	0.610516465968439	1.35325337744693	1.11255862913834	RHOA;RAC2	137	KEGG_2021_Human
Proteasome	1/46	0.439698387407321	0.610516465968439	1.75858991521642	1.44497401659848	PSME1	139	KEGG_2021_Human
Thyroid hormone signaling pathway	2/121	0.44793259476487	0.617507077068713	1.33037408511792	1.0684400787219	ACTB;ACTG1	140	KEGG_2021_Human
Intestinal immune network for IgA production	1/48	0.453650615512836	0.620954388609769	1.68358540545159	1.33075295490006	CXCR4	141	KEGG_2021_Human
Cell cycle	2/124	0.460459163144049	0.625835341456349	1.29746166049709	1.00622187733923	YWHAB;YWHAZ	142	KEGG_2021_Human
Malaria	1/50	0.467256770449507	0.63063326361367	1.61470371281043	1.22858985564072	KLRB1	143	KEGG_2021_Human
FoxO signaling pathway	2/131	0.489032332521847	0.655439167893864	1.2266191547887	0.877433397826685	IL7R;KLF2	144	KEGG_2021_Human
Dopaminergic synapse	2/132	0.493036806610752	0.656248990868105	1.21712158808933	0.860713637407127	CALM1;FOS	145	KEGG_2021_Human
Pyrimidine metabolism	1/56	0.506083253581543	0.669000465350944	1.4381161007667	0.979434852981902	NME2	146	KEGG_2021_Human
Insulin signaling pathway	2/137	0.512759651039636	0.673215052045236	1.17174432497013	0.782664348786966	RPS6;CALM1	147	KEGG_2021_Human
VEGF signaling pathway	1/59	0.524426193983559	0.683880104316398	1.36352305774823	0.880086745674335	RAC2	148	KEGG_2021_Human
Spinocerebellar ataxia	2/143	0.535753282938431	0.693962306088035	1.121539693434	0.699932193146339	SLC25A6;SLC25A5	149	KEGG_2021_Human
Breast cancer	2/147	0.550665069987743	0.706941148885496	1.09037819799778	0.650550723000636	JUN;FOS	150	KEGG_2021_Human
Ras signaling pathway	3/232	0.55655305674615	0.706941148885496	1.03535880345809	0.606712776025546	CALM1;RHOA;RAC2	151	KEGG_2021_Human
Inflammatory bowel disease	1/65	0.559101308486988	0.706941148885496	1.23531626506024	0.718243253682941	JUN	152	KEGG_2021_Human
Long-term potentiation	1/67	0.570090649094196	0.706941148885496	1.19776073992941	0.673093502400032	CALM1	153	KEGG_2021_Human
Fc epsilon RI signaling pathway	1/68	0.575482578945521	0.706941148885496	1.17982377270275	0.651907286736174	RAC2	154	KEGG_2021_Human
mTOR signaling pathway	2/154	0.575944048619337	0.706941148885496	1.03979202037351	0.573699799581533	RPS6;RHOA	155	KEGG_2021_Human
Adipocytokine signaling pathway	1/69	0.580807150251141	0.706941148885496	1.1624143633357	0.631582156965715	NFKBIA	156	KEGG_2021_Human
Renal cell carcinoma	1/69	0.580807150251141	0.706941148885496	1.1624143633357	0.631582156965715	JUN	156	KEGG_2021_Human
Renin secretion	1/69	0.580807150251141	0.706941148885496	1.1624143633357	0.631582156965715	CALM1	156	KEGG_2021_Human
Prolactin signaling pathway	1/70	0.586065201148598	0.706941148885496	1.14550957453	0.612073522325891	FOS	159	KEGG_2021_Human
RIG-I-like receptor signaling pathway	1/70	0.586065201148598	0.706941148885496	1.14550957453	0.612073522325891	NFKBIA	159	KEGG_2021_Human
Human papillomavirus infection	4/331	0.596050974297748	0.714520733164381	0.96581387832227	0.49974019445904	HLA-C;HLA-A;HLA-B;HLA-E	161	KEGG_2021_Human
Inositol phosphate metabolism	1/73	0.601448457724829	0.716497642350208	1.09761267291388	0.558042128931731	TPI1	162	KEGG_2021_Human
PPAR signaling pathway	1/74	0.606448602531814	0.716497642350208	1.0825218682951	0.541407397810348	UBC	163	KEGG_2021_Human
Glioma	1/75	0.611386264348889	0.716497642350208	1.06783892326061	0.525404872505748	CALM1	164	KEGG_2021_Human
Chronic myeloid leukemia	1/76	0.616262220881526	0.716497642350208	1.05354752342704	0.510004153715314	NFKBIA	165	KEGG_2021_Human
Pancreatic cancer	1/76	0.616262220881526	0.716497642350208	1.05354752342704	0.510004153715314	RAC2	165	KEGG_2021_Human
Hepatocellular carcinoma	2/168	0.623350442297576	0.720399014152289	0.95141857753595	0.449684575690553	ACTB;ACTG1	167	KEGG_2021_Human
ErbB signaling pathway	1/85	0.657492733780862	0.755333914403015	0.94023713903232	0.394261709809091	JUN	168	KEGG_2021_Human
Alcoholism	2/186	0.678164301455938	0.774471657875716	0.857556100981767	0.333045365043737	CALM1;FOSB	169	KEGG_2021_Human
Small cell lung cancer	1/92	0.686484190142759	0.775277769508319	0.867602277240831	0.326367756446443	NFKBIA	170	KEGG_2021_Human
Salivary secretion	1/93	0.690421248233191	0.775277769508319	0.858128164833246	0.317896464536528	CALM1	171	KEGG_2021_Human
TGF-beta signaling pathway	1/94	0.694309060959453	0.775277769508319	0.848857796778512	0.309695652854364	RHOA	172	KEGG_2021_Human
Transcriptional misregulation in cancer	2/192	0.694938104274296	0.775277769508319	0.830220713073005	0.302144296324143	DDX5;GZMB	173	KEGG_2021_Human
Phosphatidylinositol signaling system	1/97	0.705683124242152	0.777899675660215	0.822205488621151	0.286611768322595	CALM1	174	KEGG_2021_Human
Inflammatory mediator regulation of TRP channels	1/98	0.709380015109833	0.777899675660215	0.813687740653335	0.279391002993549	CALM1	175	KEGG_2021_Human
mRNA surveillance pathway	1/98	0.709380015109833	0.777899675660215	0.813687740653335	0.279391002993549	PABPC1	175	KEGG_2021_Human
AGE-RAGE signaling pathway in diabetic complications	1/100	0.716635614442675	0.780313855054898	0.797168471867267	0.265606790359857	JUN	177	KEGG_2021_Human
Melanogenesis	1/101	0.720195468532591	0.780313855054898	0.789156626506024	0.259026946906508	CALM1	178	KEGG_2021_Human
Pancreatic secretion	1/102	0.723710777486149	0.780313855054898	0.781303431547974	0.252644969230948	RHOA	179	KEGG_2021_Human
Drug metabolism	1/108	0.743897796344712	0.788858652167744	0.737266824306572	0.218121587358523	NME2	180	KEGG_2021_Human
Insulin resistance	1/108	0.743897796344712	0.788858652167744	0.737266824306572	0.218121587358523	NFKBIA	180	KEGG_2021_Human
Ribosome biogenesis in eukaryotes	1/108	0.743897796344712	0.788858652167744	0.737266824306572	0.218121587358523	RAN	180	KEGG_2021_Human
Cholinergic synapse	1/113	0.759593161687945	0.796747175031377	0.704173838209983	0.193628301724487	FOS	183	KEGG_2021_Human
Serotonergic synapse	1/113	0.759593161687945	0.796747175031377	0.704173838209983	0.193628301724487	DUSP1	183	KEGG_2021_Human
AMPK signaling pathway	1/120	0.779969927504523	0.813698356802016	0.6625156086531	0.16463507212053	EEF2	185	KEGG_2021_Human
Lysosome	1/128	0.801159152262456	0.829446576522612	0.620529361540651	0.137568666162091	LAPTM5	186	KEGG_2021_Human
Purine metabolism	1/129	0.803660672589267	0.829446576522612	0.615650100401606	0.134567658705926	NME2	187	KEGG_2021_Human
Autophagy	1/137	0.822576633660542	0.844453671789811	0.579199149539334	0.113125487844447	HMGB1	188	KEGG_2021_Human
Phospholipase D signaling pathway	1/148	0.845657146858807	0.86293357950483	0.535557194765456	0.0897814857590782	RHOA	189	KEGG_2021_Human
Adrenergic signaling in cardiomyocytes	1/150	0.849520104175739	0.86293357950483	0.528314600684618	0.0861594851869615	CALM1	190	KEGG_2021_Human
JAK-STAT signaling pathway	1/162	0.870757074673362	0.879874949800831	0.488637780937414	0.0676236794785041	IL7R	191	KEGG_2021_Human
MicroRNAs in cancer	2/310	0.902053699139326	0.90675189548901	0.509059488898199	0.0524744768729696	VIM;RHOA	192	KEGG_2021_Human
Olfactory transduction	1/440	0.996289939671709	0.996289939671709	0.176661086258474	0.000656642133243627	CALM1	193	KEGG_2021_Human
