statistic	p.value	sumsq	meansq	gene	method	p_adjust
6.00875516969418	0.00255171800994115	11.8921110286654	5.9460555143327	FNBP4	anova	0.0131872857906579
6.00820888957055	0.00255309488537556	11.8910434017289	5.94552170086443	GOPC	anova	0.0131898041343078
6.00686917795037	0.00255647472325107	11.8884251153025	5.94421255765123	ARMC1	anova	0.0132026648281587
6.00511090039945	0.00256091732825405	11.8849887758033	5.94249438790166	IGFBP4	anova	0.0132164014013306
6.00542556042108	0.00256012171502871	11.8856037423725	5.94280187118623	MFN1	anova	0.0132164014013306
6.00131396452136	0.00257053738106922	11.8775680408173	5.93878402040863	RAD23B	anova	0.0132614327589121
5.99768965092006	0.00257975385188906	11.8704845694524	5.93524228472621	COX4I1	anova	0.0133043514302466
5.99561541209559	0.00258504344206834	11.8664305643724	5.93321528218618	FTSJ2	anova	0.0133269955200095
5.99513896388787	0.0025862599837726	11.8654993631549	5.93274968157747	GRIPAP1	anova	0.0133286328743122
5.99325483296938	0.00259107646307788	11.8618168776188	5.93090843880941	POLG	anova	0.0133488153989075
5.99278565757472	0.00259227723213718	11.8608998818525	5.93044994092625	NT5C3A	anova	0.0133503628068419
5.9900627670845	0.00259925699234876	11.8555780007713	5.92778900038564	GPAM	anova	0.0133816609116511
5.9878232127776	0.00260501189870694	11.851200753518	5.92560037675899	LOC283788	anova	0.0134066336071252
5.98654543106639	0.00260830108986058	11.8487032889755	5.92435164448776	NDEL1	anova	0.0134189036292029
5.98509929526117	0.00261202866905622	11.8458767550209	5.92293837751043	SLC43A1	anova	0.0134287618155674
5.98533437536279	0.00261142236024504	11.8463362302399	5.92316811511993	PHF14	anova	0.0134287618155674
5.98460835848919	0.00261329532769991	11.8449171943415	5.92245859717074	MRPS27	anova	0.0134306169233298
5.98076475760083	0.00262323344300919	11.8374046147249	5.91870230736243	TBC1D8	anova	0.0134732572072135
5.98069677511427	0.00262340956074899	11.8372717372436	5.91863586862181	SLC25A36	anova	0.0134732572072135
5.97979664999677	0.00262574257286009	11.8355123635327	5.91775618176634	CTSA	anova	0.0134805696425888
5.97847553882988	0.00262917049401329	11.8329301236112	5.91646506180559	ASAH1	anova	0.0134934963360107
5.96969516546765	0.00265206738668603	11.8157676709967	5.90788383549834	RBM4	anova	0.0136062986651882
5.96812479606043	0.00265618351040578	11.8126981008718	5.90634905043589	GPATCH2	anova	0.013622702493527
5.96649393089505	0.00266046497737429	11.8095102596191	5.90475512980954	CDK5RAP2	anova	0.0136399426761856
5.96600865385932	0.00266174029686689	11.8085616876544	5.90428084382719	TAB1	anova	0.0136417640448135
5.96496058803291	0.00266449672928914	11.8065130248022	5.90325651240108	FEM1A	anova	0.0136511724274948
5.96460461944967	0.0026654335838389	11.8058172080624	5.90290860403122	ZMIZ1	anova	0.013651255180511
5.95932202026083	0.00267937543338138	11.7954911166593	5.89774555832963	TMEM38B	anova	0.013717921115589
