length	imgt_pos	feature	estimate
14	p115	hydrophobicity	0.161959602049023
14	p115	volume	-0.421240484330785
14	p116	isoelectric point	0.142431803971691
14	p116	hydrophobicity	-0.180118086345723
14	p116	volume	-0.000544232429963445
14	p117	isoelectric point	-0.115573735588008
14	p117	hydrophobicity	-0.0564814883464436
14	p117	volume	0.178175385337852
15	p105	isoelectric point	0.144077245620935
15	p105	hydrophobicity	-0.174263642839973
15	p105	volume	-0.127570139085204
15	p106	isoelectric point	0.429712412586822
15	p106	hydrophobicity	0.0301709257558537
15	p106	volume	-0.192903093491942
15	p107	isoelectric point	-0.299513526801059
15	p107	hydrophobicity	-0.177048659359025
15	p107	volume	0.282201179634533
15	p108	isoelectric point	0.115709435409306
15	p108	hydrophobicity	-0.132009850835258
15	p108	volume	0.0415911189572179
15	p109	isoelectric point	-0.190660537778816
15	p109	hydrophobicity	0.0828318771500346
15	p109	volume	0.114798013492754
15	p110	isoelectric point	0.381551511845391
15	p110	hydrophobicity	0.10151584776703
15	p110	volume	-0.079975157596008
15	p111	isoelectric point	0.168700260588563
15	p111	hydrophobicity	0.0459995192230875
15	p111	volume	0.0911895959513204
15	p112	isoelectric point	0.032208244555411
15	p112	hydrophobicity	-0.0363314028638404
15	p112	volume	0.167410741326961
15	p113	isoelectric point	0.0298071050248533
15	p113	hydrophobicity	-0.216697961672917
15	p113	volume	0.0567785461071535
15	p114	isoelectric point	0.119011330164111
15	p114	hydrophobicity	-0.280208942792101
15	p114	volume	0.120974597936116
15	p115	isoelectric point	-0.162471327270123
15	p115	hydrophobicity	0.354696102252653
15	p115	volume	-0.000568667705750441
15	p116	isoelectric point	0.221127826131364
15	p116	hydrophobicity	-0.164677991346174
15	p116	volume	0.0475457781762855
15	p117	isoelectric point	-0.155689862182487
15	p117	hydrophobicity	0.00211500283086038
15	p117	volume	-0.0527611957072783
16	p105	isoelectric point	-0.205831138925289
16	p105	hydrophobicity	0.206326660915835
16	p105	volume	0.199347813165576
16	p106	isoelectric point	-0.371746021400584
16	p106	hydrophobicity	0.219042961439382
16	p106	volume	-0.0646919543643281
16	p107	isoelectric point	0.167244295854169
16	p107	hydrophobicity	-0.0923860468808212
16	p107	volume	-0.341113833739487
16	p108	isoelectric point	0.130595505454418
16	p108	hydrophobicity	0.0888369714733737
16	p108	volume	-0.100151348180821
16	p109	isoelectric point	0.245531835991431
16	p109	hydrophobicity	-0.073509645890933
16	p109	volume	-0.0397159826103913
16	p110	isoelectric point	0.0925424711286345
16	p110	hydrophobicity	0.152388572551607
16	p110	volume	0.101370623527248
16	p111	isoelectric point	0.153145857183395
16	p111	hydrophobicity	0.114784561917049
16	p111	volume	-0.0473980671823874
16	p112.1	isoelectric point	0.156133200227309
16	p112.1	hydrophobicity	0.270512793689058
16	p112.1	volume	-0.0662207705597087
16	p112	isoelectric point	0.130210150038417
16	p112	hydrophobicity	-6.67776271699302e-05
16	p112	volume	-0.0625219490738751
16	p113	isoelectric point	0.0424800692172956
16	p113	hydrophobicity	0.14404389889632
16	p113	volume	-0.028598040022115
16	p114	isoelectric point	0.185968057298542
16	p114	hydrophobicity	-0.10098204822524
16	p114	volume	-0.232454485482784
16	p115	isoelectric point	-0.24022794907519
16	p115	hydrophobicity	0.425717420574219
16	p115	volume	0.0649588100036253
16	p116	isoelectric point	0.166672258750456
16	p116	hydrophobicity	-0.182524891341197
16	p116	volume	0.0294886456879529
16	p117	isoelectric point	0.119921397399605
16	p117	hydrophobicity	-0.0947952412084897
16	p117	volume	0.0574247501071724
17	p105	isoelectric point	-0.0338068007918861
17	p105	hydrophobicity	0.0336729701092398
17	p105	volume	0.029561359339256
17	p106	isoelectric point	0.132131818877257
17	p106	hydrophobicity	0.249695506879975
17	p106	volume	-0.266822683947001
17	p107	isoelectric point	0.278183879915951
17	p107	hydrophobicity	0.0448605274283012
17	p107	volume	0.0194996522291106
17	p108	isoelectric point	-0.00376921462185135
17	p108	hydrophobicity	0.0633210805740136
17	p108	volume	0.165854246822009
17	p109	isoelectric point	0.196786502929213
17	p109	hydrophobicity	0.0366474097239418
17	p109	volume	-0.172553313197365
17	p110	isoelectric point	-0.229615310941242
17	p110	hydrophobicity	0.266382018659281
17	p110	volume	0.0315679232483793
17	p111	isoelectric point	0.133201594524027
17	p111	hydrophobicity	-0.456302957600119
17	p111	volume	-0.377054835399149
17	p111.1	isoelectric point	0.759078979545619
17	p111.1	hydrophobicity	-0.182198085202745
17	p111.1	volume	-0.0653510128051461
17	p112.1	isoelectric point	0.375430626298675
17	p112.1	hydrophobicity	0.185195455125357
17	p112.1	volume	-0.0302359703217048
17	p112	isoelectric point	0.464229740482403
17	p112	hydrophobicity	-0.119519278837359
17	p112	volume	-0.23196630580215
17	p113	isoelectric point	-0.128265911940749
17	p113	hydrophobicity	0.104185899318731
17	p113	volume	0.00815525581988077
17	p114	isoelectric point	0.393061488833443
17	p114	hydrophobicity	-0.501374171118193
17	p114	volume	0.272235293654912
17	p115	isoelectric point	0.176906942059534
17	p115	hydrophobicity	-0.064358316899653
17	p115	volume	0.309060194244477
17	p116	isoelectric point	0.299844120624247
17	p116	hydrophobicity	-0.419616244971733
17	p116	volume	0.158256500898052
17	p117	isoelectric point	-0.20659567289362
17	p117	hydrophobicity	-0.103264088814493
17	p117	volume	-0.15529687548632
