Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Toxoplasmosis	5/112	0.0800169832967804	0.242026677872978	0	0	2.2536319052466	5.69158428134048	NFKBIA;IFNGR1;CYCS;ITGA6;NFKB1
Human T-cell leukemia virus 1 infection	8/219	0.0815807901018693	0.243565584885732	0	0	1.83238585999456	4.59225482243285	NFKBIA;JUN;ZFP36;SMAD3;MYC;PIK3R1;ETS1;NFKB1
Cytokine-cytokine receptor interaction	10/295	0.0825140552878194	0.243565584885732	0	0	1.69775315481687	4.23553187681696	IL18RAP;EDA;IL23A;IFNGR1;IL23R;OSM;CCR6;LTB;IL7R;IL18R1
B cell receptor signaling pathway	4/81	0.0843698696491808	0.246078786476777	0	0	2.50299823633157	6.18877561354781	NFKBIA;JUN;PIK3R1;NFKB1
Gastric cancer	6/149	0.0858715144574261	0.24751201225964	0	0	2.02481389578164	4.97072194576603	SMAD3;FGF9;GADD45B;MYC;TCF7;PIK3R1
Human cytomegalovirus infection	8/225	0.0918185358204795	0.26157606134904	0	0	1.78116919682361	4.25332710707136	NFKBIA;MYC;PTGER2;PXN;CYCS;PIK3R1;PLCB1;NFKB1
Growth hormone synthesis, secretion and action	5/119	0.0974346618681431	0.274384967329828	0	0	2.11449105436859	4.92374732835612	SOCS3;IGFBP3;PIK3R1;PLCB1;JUNB
Chemokine signaling pathway	7/192	0.09998328701568	0.278362560441382	0	0	1.82656985343553	4.20613781567922	NFKBIA;PXN;PIK3R1;CCR6;RASGRP2;PLCB1;NFKB1
Regulation of lipolysis in adipocytes	3/55	0.102489330239637	0.282133549536079	0	0	2.77647783251232	6.32480700981032	PDE3B;ADRB2;PIK3R1
Necroptosis	6/159	0.108416158216443	0.295132875144761	0	0	1.89150002432735	4.20249340595036	IFNGR1;FTH1;CHMP1B;TNFAIP3;PYGM;FTL
Cell cycle	5/124	0.11095215793894	0.298717348297146	0	0	2.02512688243614	4.45255773563632	SMAD3;GADD45B;MYC;CDC14A;CDC25B
Purine metabolism	5/129	0.125323957818282	0.330154512532033	0	0	1.94296949856276	4.03526248218406	IMPDH2;PDE3B;PDE4B;NME2;PDE8A
Relaxin signaling pathway	5/129	0.125323957818282	0.330154512532033	0	0	1.94296949856276	4.03526248218406	NFKBIA;JUN;PIK3R1;PLCB1;NFKB1
Aldosterone synthesis and secretion	4/98	0.141287906583155	0.365634749494937	0	0	2.04854215918046	4.00890600879942	NR4A2;NR4A1;CAMK4;PLCB1
Influenza A	6/172	0.141776739600078	0.365634749494937	0	0	1.74220455021077	3.40339957673569	NFKBIA;SOCS3;IFNGR1;CYCS;PIK3R1;NFKB1
Hematopoietic cell lineage	4/99	0.1450238484397	0.367456115274624	0	0	2.02687459389214	3.91360515601271	FLT3LG;ITGA6;IL7R;CD55
Cortisol synthesis and secretion	3/65	0.147771355443869	0.367456115274624	0	0	2.32746702685524	4.45032432206777	NR4A1;PLCB1;PDE8A
Estrogen signaling pathway	5/137	0.149982087867193	0.367456115274624	0	0	1.82446369636964	3.46144441999771	JUN;TGFA;PIK3R1;PLCB1;HSP90B1
Insulin signaling pathway	5/137	0.149982087867193	0.367456115274624	0	0	1.82446369636964	3.46144441999771	SOCS3;RPS6;PDE3B;PYGM;PIK3R1
Yersinia infection	5/137	0.149982087867193	0.367456115274624	0	0	1.82446369636964	3.46144441999771	NFKBIA;JUN;PXN;PIK3R1;NFKB1
Mitophagy	3/68	0.162440697818136	0.394039316489537	0	0	2.21970443349754	4.03418468725585	JUN;RRAS2;RPS27A
NOD-like receptor signaling pathway	6/181	0.167325986725192	0.394869694733215	0	0	1.6518397731301	2.95317789966467	NFKBIA;JUN;TXNIP;TNFAIP3;PLCB1;NFKB1
Amphetamine addiction	3/69	0.167424885619415	0.394869694733215	0	0	2.185960591133	3.90679352024796	JUN;CAMK4;FOSB
Parathyroid hormone synthesis, secretion and action	4/106	0.172203673737326	0.394869694733215	0	0	1.88709755507141	3.31955057218868	NR4A2;NACA;PDE4B;PLCB1
Epithelial cell signaling in Helicobacter pylori infection	3/70	0.172453295250833	0.394869694733215	0	0	2.15322402764503	3.78456863132249	NFKBIA;JUN;NFKB1
Prolactin signaling pathway	3/70	0.172453295250833	0.394869694733215	0	0	2.15322402764503	3.78456863132249	SOCS3;PIK3R1;NFKB1
RIG-I-like receptor signaling pathway	3/70	0.172453295250833	0.394869694733215	0	0	2.15322402764503	3.78456863132249	NFKBIA;RNF125;NFKB1
Adherens junction	3/71	0.177524151405031	0.402716824946597	0	0	2.12145030425964	3.66724213039586	SMAD3;TCF7;FYN
Melanoma	3/72	0.182635689573926	0.406779490414653	0	0	2.09059755836368	3.55456333011411	FGF9;GADD45B;PIK3R1
Non-small cell lung cancer	3/72	0.182635689573926	0.406779490414653	0	0	2.09059755836368	3.55456333011411	GADD45B;TGFA;PIK3R1
HIF-1 signaling pathway	4/109	0.18435770753017	0.406915660764789	0	0	1.83289829512052	3.09920620465599	IFNGR1;RPS6;PIK3R1;NFKB1
Various types of N-glycan biosynthesis	2/39	0.189476567513938	0.414479991436739	0	0	2.59698519157979	4.32005867919541	B4GALT1;MGAT4A
Thyroid hormone synthesis	3/75	0.198196938154837	0.429719025202965	0	0	2.00318144499179	3.24213736089754	HSPA5;PLCB1;HSP90B1
Cholinergic synapse	4/113	0.200980036677139	0.431930780578061	0	0	1.76527353041115	2.83246910634831	CAMK4;FYN;PIK3R1;PLCB1
Pertussis	3/76	0.203453816125421	0.433405865931873	0	0	1.97563938187462	3.14584268724167	JUN;IL23A;NFKB1
Leukocyte transendothelial migration	4/114	0.205204409992234	0.433405865931873	0	0	1.74913580246914	2.7701915090767	TXK;PXN;PIK3R1;SIPA1
Chemical carcinogenesis	7/239	0.218929149272083	0.455554921455622	0	0	1.45300437467833	2.20712399171152	JUN;FGF9;MYC;PIK3R1;ADRB2;NFKB1;HSP90B1
RNA degradation	3/79	0.219410125435769	0.455554921455622	0	0	1.89736193933109	2.87794246148836	BTG2;PABPC1;TOB1
Thyroid hormone signaling pathway	4/121	0.235450190802687	0.484750392829061	0	0	1.64389574759945	2.37749391066524	MED30;MYC;PIK3R1;PLCB1
Hippo signaling pathway	5/163	0.241708554417012	0.489023147487527	0	0	1.5221988971049	2.16155683435581	SMAD3;LATS2;MYC;TCF7;AREG
