Gene	p_val	p_val_adj
PTPN6	2.34963572280142e-72	2.693571589685e-70
LOC101927369	5.78839914368661e-72	6.60001984082288e-70
RPL10	9.49430721480657e-72	1.076766135891e-69
JUNB	1.18752709884162e-71	1.33963163362942e-69
RAC2	3.43788550244546e-71	3.85770771089224e-69
MYO1G	5.12068145037053e-70	5.71575853681359e-68
LGALS1	8.87838483514137e-70	9.85826102532347e-68
RPS12	1.27943084815572e-68	1.41323799102534e-66
TGFBR3	1.55197899755523e-68	1.70540780208038e-66
PLA2G16	1.83318808751011e-68	2.00403365772754e-66
MAL	3.29898094066489e-68	3.58793783536518e-66
RPL32	7.58430520633113e-68	8.20652779672809e-66
TNFRSF4	8.00902785312376e-68	8.62210470604308e-66
SH2D1A	1.51302146671126e-67	1.62061410434406e-65
ARPC2	2.82205558342268e-67	3.00754546800142e-65
HLA-DQB1	1.1096297099303e-66	1.17665134441009e-64
NR4A2	1.63550435536573e-66	1.72566051585056e-64
IRF1	2.71032976424022e-66	2.84557790297062e-64
HLA-DRB1	1.61420479285015e-65	1.68640666240227e-63
STOM	2.0224957192023e-65	2.10260241239423e-63
TMEM255A	9.45644139125265e-65	9.78303458661884e-63
JUN	1.04831808453654e-64	1.07925873479859e-62
PTPRCAP	1.14129485319241e-64	1.16930344186013e-62
PPP1CA	4.84269865347086e-64	4.9376900501351e-62
PPP2R2B	5.51012510643641e-64	5.59132695011021e-62
PSMB9	8.34360695233317e-64	8.42624839262294e-62
PFN1	3.92184983087795e-63	3.94192375418291e-61
AQP3	2.02732962838271e-61	2.02809465843116e-59
CAPN2	4.96811844939923e-61	4.94665990961778e-59
MRPL10	1.05856158716291e-60	1.04906421217528e-58
SIGLEC9	1.26640585891729e-60	1.24920630027525e-58
ND5	1.53302294108801e-60	1.50520141363864e-58
ITGB7	1.8798667329236e-60	1.83724486967022e-58
TMCC3	2.22028015477658e-60	2.15998630837164e-58
NFKBIA	2.78616300054712e-60	2.69812533861203e-58
RAB27A	4.97683249557302e-60	4.79766652573239e-58
RHOA	5.02215180703786e-60	4.81944776125153e-58
PLOD1	5.23507912325606e-60	5.00115126333399e-58
ADAMTS6	2.05947360154515e-59	1.95862404222285e-57
EFNA5	9.59370556908388e-59	9.08318337987192e-57
CD4	1.31725430470972e-58	1.2416146353015e-56
RUNX3	1.89012228812073e-58	1.77370413656922e-56
CCR7	2.66280597188354e-58	2.48778806395181e-56
SH3BGRL3	3.31349471876616e-58	3.08213140331547e-56
HENMT1	4.10872578634386e-58	3.80514657103845e-56
MTSS1	5.85639578998704e-58	5.40010617017588e-56
CEP78	1.34001409939957e-57	1.23026056363923e-55
PIK3IP1	2.59865775442052e-57	2.37553162309269e-55
RNR1	3.95361091746676e-57	3.59863434925473e-55
PNRC1	8.97444906377262e-57	8.1337656301064e-55
SYTL3	1.3082794760914e-56	1.18068047357219e-54
LCP1	1.831484709224e-56	1.64585286920434e-54
COX3	3.61350742699059e-56	3.23355550681926e-54
C10orf128	4.94853242612859e-56	4.4095998190477e-54
GK5	5.63376554263952e-56	4.99920082126774e-54
LSP1	6.81068305769211e-56	6.01837359531393e-54
KIFC3	8.00021240704102e-56	7.0401869181961e-54
AGTPBP1	1.65306704029611e-55	1.44868784258677e-53
HMGN3	2.65251574578232e-55	2.31500221961117e-53
GLIPR2	3.93518223158123e-55	3.42038298226946e-53
RPL21	7.28990846172929e-55	6.31038280230019e-53
GNB2	8.660309759252e-55	7.46617273878929e-53
CMKLR1	8.95085032289641e-55	7.68541026914927e-53
NUCB2	1.06605665666997e-54	9.1165038607487e-53
TMEM109	1.10696119213414e-54	9.42828633043405e-53
LOC102724797	1.12392863712792e-54	9.53451141448356e-53
MAP3K8	1.20173432211822e-54	1.01539368539774e-52
EMP3	2.71069837348825e-54	2.28128932956106e-52
COL6A2	4.77118657298979e-54	3.99949900553231e-52
AFAP1L2	5.36006919411425e-54	4.47544675073918e-52
FYN	5.44524577795447e-54	4.5287361748572e-52
VCAM1	7.36514835031767e-54	6.10156508646629e-52
MYL12B	1.97522761529638e-53	1.62998549670061e-51
PMP22	2.01592498424684e-53	1.65712159170182e-51
LINC00469	4.46500482439367e-53	3.6561321357429e-51
TNFRSF1A	6.1689231203432e-53	5.03194313600917e-51
FBLN7	8.97848075284853e-53	7.2956176171039e-51
RNPEPL1	9.95717687875948e-53	8.05999264292866e-51
LOC102723461	1.00605333296518e-52	8.11269166750022e-51
TSEN54	1.17906284558092e-52	9.47180485950006e-51
KRT83	1.35605742830553e-52	1.08525531847183e-50
UBE2E3	1.54945983727541e-52	1.23537384319312e-50
FCRL3	2.47982907470707e-52	1.96974588076358e-50
SYNGR1	2.5527624194208e-52	2.02011139518942e-50
RGS3	2.61457213441113e-52	2.06133255860934e-50
PDIA3	5.54803690372617e-52	4.35788024645277e-50
PLEKHF1	5.71296684114461e-52	4.47087087701088e-50
AKNA	5.91877396229811e-52	4.61490287472126e-50
CCR6	1.09860847414989e-51	8.53453791932996e-50
FEZ1	2.06105025717804e-51	1.59528298738072e-49
RPL41	2.29225484330962e-51	1.76778693516038e-49
SH2D2A	2.46990561857636e-51	1.89788979560751e-49
CTLA4	4.44969082979135e-51	3.4068246613074e-49
ANXA2	7.1809778796601e-51	5.47820787308746e-49
ICOS	7.49049356527845e-51	5.69384901549911e-49
HAVCR2	9.63326826600081e-51	7.29651262090519e-49
RNF166	1.14139681931454e-50	8.61449955303301e-49
PLCG2	1.17897613120459e-50	8.86656942928617e-49
PON2	1.89355350509491e-50	1.41902765851777e-48
IFNGR1	2.60810158993946e-50	1.9476274126562e-48
SUB1	9.07223047967557e-50	6.75101277238455e-48
TMEM171	1.74496714594482e-49	1.29396025283909e-47
VAMP2	3.10692414867686e-49	2.29587621411634e-47
RAB29	3.92630588974398e-49	2.89128803158647e-47
RPLP0	6.88930957175537e-49	5.0556566573629e-47
HLA-J	8.18313858275498e-49	5.98441389872647e-47
TSPAN32	9.0713977584262e-49	6.61120974779048e-47
ND3	1.24358956528149e-48	9.03220804811295e-47
HSPA1A	1.34079513881167e-48	9.70497723683205e-47
CLIC1	1.40921500424691e-48	1.01655210238328e-46
PATL2	1.42534215466631e-48	1.02470021749705e-46
GUK1	1.48097840177661e-48	1.0611010116513e-46
STYK1	1.60953206695444e-48	1.14932512040303e-46
SETBP1	2.28712066307489e-48	1.62769312156014e-46
RNF187	4.13915439018147e-48	2.93589251862771e-46
DHRS7	6.86547268824808e-48	4.85343149241218e-46
ANXA6	6.93413038716741e-48	4.88568230069922e-46
LIM2	7.82354078753184e-48	5.49409447092633e-46
CAP1	1.27688146292595e-47	8.93732741443351e-46
GPR183	1.29462069844787e-47	9.03168281996132e-46
PPP1R18	1.49166402059722e-47	1.03722001799429e-45
FAM163B	1.51478886221331e-47	1.04985758790261e-45
ARHGAP25	2.60001546133689e-47	1.79612794475677e-45
CD69	2.61730295413344e-47	1.80220003413188e-45
LYSMD2	3.68839557479301e-47	2.53150463916538e-45
LOC100996919	4.25266190112789e-47	2.90936947093936e-45
PRSS30P	4.60264264806206e-47	3.13867669710933e-45
CDK2AP2	4.69445406251221e-47	3.19102505633843e-45
LYST	4.83199669865378e-47	3.27402511134343e-45
PPIA	9.78625598997105e-47	6.60977442787599e-45
RPL18A	1.02168919809443e-46	6.87872524228147e-45
ND2	1.62082067285855e-46	1.08779635537924e-44
ND1	3.97539681538095e-46	2.65962825427758e-44
RPL28	4.0451319465792e-46	2.6977722743098e-44
PRKCH	5.84173926903311e-46	3.88374941748132e-44
PXN	6.87410246558108e-46	4.55581140906386e-44
ZYX	2.11752241956432e-45	1.3990160583838e-43
KCNN3	2.26826037776272e-45	1.49395236309291e-43
RCBTB2	4.30658554583244e-45	2.82768006984565e-43
IKZF3	6.45758542705011e-45	4.22692814002712e-43
SRGAP3	7.33989304831847e-45	4.78967543903809e-43
AES	1.72450732537205e-44	1.12188194345063e-42
TAPBP	4.54610762851281e-44	2.9484357977217e-42
GNG2	5.29179983138266e-44	3.42160032999889e-42
TRG-AS1	5.64813641645955e-44	3.64090204012991e-42
CD3G	1.29204330227985e-43	8.30353162265181e-42
TNFRSF25	1.31844105089939e-43	8.44758241917654e-42
SHISA5	1.63245587601381e-43	1.04280494634039e-41
LINC00996	1.86911566826926e-43	1.19039654932896e-41
C5orf56	2.87933379949531e-43	1.82829075508073e-41
BIN1	3.71165806337889e-43	2.34975654352655e-41
ITPRIP	4.05156439431957e-43	2.55730885936695e-41
JAKMIP1	4.5061858150393e-43	2.83582162508467e-41
DUSP1	7.74598877244978e-43	4.86026419781405e-41
C11orf21	1.04567465952175e-42	6.54179002334435e-41
LOC101060038	1.06139942096922e-42	6.62063497644562e-41
MCTP2	1.08432670975534e-42	6.74381256905901e-41
RAB37	1.15139778856801e-42	7.14001295320185e-41
FTL	1.25407245945796e-42	7.75404335865435e-41
MAP2K3	1.76673265703638e-42	1.08921122646592e-40
FAM49B	4.16803417951332e-42	2.56219330084401e-40
SERPINB1	4.55471158910341e-42	2.79180125380651e-40
PSMB10	6.57924186773583e-42	4.02111128331243e-40
FAM173A	9.47747311467403e-42	5.77581177632204e-40
GPR65	1.16176432282864e-41	7.05979878468476e-40
ARHGAP9	1.18562879717597e-41	7.18423300871655e-40
GABARAPL1	1.58719032109278e-41	9.59006619080789e-40
RAB1B	1.95720113498467e-41	1.17921368382826e-39
KRT81	1.96393735444697e-41	1.17992021000315e-39
KLF3	2.06762408515749e-41	1.23870541237345e-39
RASAL3	2.80113770043377e-41	1.67342333382534e-39
SMIM10	3.49239925372062e-41	2.08052818463222e-39
PASK	4.49179215778298e-41	2.66840134684206e-39
SH3BP5	4.81149407911725e-41	2.85033984441114e-39
TBC1D10C	5.01528300525786e-41	2.96278891296682e-39
RPL36	5.28131468899872e-41	3.1026626571824e-39
GYG1	5.27592000834082e-41	3.1026626571824e-39
RAC1	7.38859190338829e-41	4.32865351069223e-39
SPOCK2	9.06730837734063e-41	5.29750622773113e-39
PPP3CC	1.62890591380094e-40	9.49061445601383e-39
BIRC3	2.09592315656824e-40	1.2178174877945e-38
MYO1F	2.18786180310774e-40	1.26776429290461e-38
SPRY2	2.4295031253255e-40	1.40394829106003e-38
CDC25B	2.53255162802101e-40	1.45952051432254e-38
SLAMF1	2.7452899910828e-40	1.57783496289659e-38
G6PD	3.23554929254021e-40	1.85458187557278e-38
PALLD	4.07199135137865e-40	2.32773025822206e-38
PTPRC	5.56694119324385e-40	3.17375507597622e-38
MAPRE2	6.22981277033289e-40	3.54214126630617e-38
SRSF2	6.85539423208891e-40	3.88741178807865e-38
RPS4X	9.06429434747978e-40	5.1262814539027e-38
MSN	1.11715581996272e-39	6.30123421004503e-38
SFRP2	3.42487145870921e-39	1.9266491749683e-37
LINC00152	3.60756133265833e-39	2.02405187150841e-37
STK17A	3.7798588008396e-39	2.1151252097152e-37
NCF4	3.81261108275894e-39	2.12783831166188e-37
PTPN12	4.46177935879786e-39	2.48360673599436e-37
PTPRE	7.57942102438864e-39	4.20796756767629e-37
ZAP70	7.81132530391175e-39	4.32539391763343e-37
CNBP	1.03350181583078e-38	5.70794440368208e-37
DNAJB6	1.18022807318269e-38	6.50137064313207e-37
ARF6	1.49321144561723e-38	8.20415241933946e-37
DBI	1.57214795503559e-38	8.6155332895077e-37
MAPK1	1.98611006694485e-38	1.08560366751975e-36
MYO6	2.06222095064678e-38	1.12430801854285e-36
RAP1GAP2	2.14182412253599e-38	1.16471297412162e-36
IFITM1	2.26091720607635e-38	1.22633074441092e-36
HNRNPF	2.31841254506204e-38	1.2543085014203e-36
TPM3	2.4076444726703e-38	1.29927033018809e-36
PDZD4	3.47139311274305e-38	1.86856104403692e-36
MYBL1	3.849564773907e-38	2.06687518291189e-36
KCNAB2	6.46775895013681e-38	3.46384423773993e-36
C9orf142	1.02122326418322e-37	5.45544155838733e-36
LOC101929531	1.06054738350074e-37	5.65127862042303e-36
CAPG	1.49329813254794e-37	7.93730997370346e-36
GIMAP4	1.73941811137927e-37	9.22239482653287e-36
LAD1	1.8038228457013e-37	9.54001868120527e-36
SRP14	1.92270784668437e-37	1.0143479605095e-35
KLF2	2.01139605525432e-37	1.0585034128991e-35
LCK	2.31794411428422e-37	1.21680591029059e-35
PDGFD	3.52741278471692e-37	1.84714494662411e-35
ADAM8	3.78810064068123e-37	1.97876941841299e-35
NFATC3	4.74238613418626e-37	2.47116769370571e-35
NMRAL1	4.99131696165861e-37	2.59450613046215e-35
ENPP5	5.23667975935551e-37	2.71539130406875e-35
COL13A1	5.63422231889684e-37	2.91440455949181e-35
HLA-DMA	6.90514681819143e-37	3.56312296156214e-35
BLOC1S1	8.78053578559446e-37	4.51984473157494e-35
CRACR2B	1.27838563151405e-36	6.5646495092373e-35
CYTH4	1.83423551089616e-36	9.39624799881297e-35
TNFRSF18	2.12495730539686e-36	1.08592998874353e-34
TMEM123	2.37240078198988e-36	1.20946816789523e-34
IL6ST	3.04618047098017e-36	1.54924209660785e-34
RRAS2	3.49309364208945e-36	1.77228540577591e-34
ATP8B4	3.78654160473645e-36	1.91658650007758e-34
SNX9	4.20868255814206e-36	2.12518427840659e-34
GPR171	5.02078107206634e-36	2.52923337236064e-34
CMTM3	5.19062741706878e-36	2.6085977787013e-34
DDIT4	7.32321693583767e-36	3.67164975828003e-34
UQCRB	1.05346833520362e-35	5.26932935212225e-34
PRR5L	1.23214910602607e-35	6.14856899778847e-34
VNN2	1.26682549879451e-35	6.30676882122861e-34
MFSD10	1.68486951550715e-35	8.36831678802708e-34
TIMP1	1.83043976314606e-35	9.07008563009384e-34
TFDP2	2.17398274871477e-35	1.07472788192874e-33
TECR	2.73489019844797e-35	1.3488732867136e-33
CD320	2.77575490689779e-35	1.36585174165866e-33
CD28	3.16719593623618e-35	1.55485859758558e-33
AGTRAP	4.05751091308139e-35	1.98733698486444e-33
F2R	4.47615189033273e-35	2.18733247212388e-33
TAP1	6.55588397928226e-35	3.19625718235904e-33
S1PR4	9.03304567899259e-35	4.39387231101089e-33
YES1	1.17283430995211e-34	5.69186957562115e-33
ZBTB38	1.28508738771726e-34	6.22240486728486e-33
RHOC	1.33771817872655e-34	6.46061058024448e-33
CORO1A	1.34037563905487e-34	6.46061058024448e-33
BSG	1.57899583812842e-34	7.59350198073188e-33
ATP5D	1.94309252979698e-34	9.32332723346932e-33
CDC42	1.96199783190594e-34	9.39278781468651e-33
KIF21A	2.58258458551224e-34	1.23359130381855e-32
TRPV2	5.00980773719417e-34	2.38759556158234e-32
SIPA1	5.14446082059905e-34	2.44627186285347e-32
ASCL2	6.05153149053641e-34	2.8711606230715e-32
ITGA4	6.37939788088094e-34	3.01996138968132e-32
RHOBTB3	7.00537567780217e-34	3.30890885021889e-32
CDC42SE1	8.7749218859648e-34	4.13552318572314e-32
NDUFB7	1.00771329477362e-33	4.73871032274035e-32
SLA2	1.70376226955028e-33	7.99411287889875e-32
ARPC4	1.90139545368853e-33	8.90172070238992e-32
MOXD1	1.98798670370185e-33	9.28661277799756e-32
KLRB1	2.03484313336343e-33	9.48460509282894e-32
ZFP36	3.51085775398528e-33	1.63285682558157e-31
ACTB	3.76360833317022e-33	1.74657780152897e-31
C19orf66	4.97921900876827e-33	2.30566106414754e-31
IGFBP3	6.3663321105951e-33	2.9415505751961e-31
TRAPPC1	6.56116871897588e-33	3.02498404765305e-31
OASL	7.64359130746185e-33	3.5163836105998e-31
PSMB8	9.21574607043438e-33	4.23046629138035e-31
ABHD17A	9.39062953570657e-33	4.30143566292149e-31
P2RY8	1.74280356703445e-32	7.96581423484195e-31
MIR181A2HG	1.77086045900335e-32	8.07664701388023e-31
SRSF9	2.01654744340677e-32	9.17745454501519e-31
APBA2	4.41696121771615e-32	2.00588679882921e-30
LOC400043	5.29147390655929e-32	2.39789697885276e-30
SLC25A20	7.23242043965577e-32	3.27047276512195e-30
FAM65B	7.26008087209257e-32	3.27599564117743e-30
LYN	7.56870623988805e-32	3.40078648168529e-30
RCN2	7.55902900629255e-32	3.40078648168529e-30
PHEX	7.7497398275805e-32	3.47476706687795e-30
CHCHD10	1.29442689831181e-31	5.79160456949301e-30
VPS26B	1.30314958829789e-31	5.81835715128876e-30
SSBP4	1.5991163731134e-31	7.12480252961952e-30
PGAM1	1.74230389269808e-31	7.7464949594006e-30
DNAJC1	1.96897440269421e-31	8.73598517412948e-30
CD247	2.27042280570851e-31	1.0052427320139e-29
PLEKHG3	2.49624328446138e-31	1.10292349118452e-29
RPS14P3	2.62258088362247e-31	1.15633462328202e-29
RPS10	2.86506213768785e-31	1.26062734058265e-29
ODC1	2.99341195323756e-31	1.31437434170315e-29
RPS6KA1	3.10557919794776e-31	1.36080833946438e-29
FAAH2	3.41226748860781e-31	1.49211069893597e-29
ICA1	3.88039730993165e-31	1.69332234874548e-29
SRP9	4.27985508264428e-31	1.86380218876221e-29
FKBP5	4.6689474803864e-31	2.02907865090235e-29
BCL7B	5.05488166676649e-31	2.19230941490355e-29
TNFSF13B	5.83632444615603e-31	2.52605650722606e-29
PIK3R6	6.26846193314469e-31	2.70756701992124e-29
GNGT2	7.10028903512616e-31	3.06062865562918e-29
DNAJB1	1.04189263752548e-30	4.48204037660048e-29
CD47	1.18344954700421e-30	5.08068785280674e-29
STX11	1.42108372243176e-30	6.08855425966317e-29
KIR3DL1	1.44292560429667e-30	6.16967060804913e-29
LOC554223	1.67950384708717e-30	7.16678422314381e-29
CD82	1.7034981668613e-30	7.25457612907518e-29
NELFCD	2.55910541986025e-30	1.08764544577948e-28
SERINC5	2.60319564392979e-30	1.10417146432926e-28
RNF213	2.84715970701926e-30	1.20524077976975e-28
LINC00869	2.95649857018533e-30	1.24903230431256e-28
RAB9A	3.32906067379388e-30	1.40363257991691e-28
GLUL	4.56928648048143e-30	1.92272673964385e-28
GTF3C1	4.96332834335921e-30	2.08440133675173e-28
GPR68	5.15995344917448e-30	2.16269353261052e-28
PYCARD	6.75872702237908e-30	2.82720084202398e-28
SPINT2	7.07028844339908e-30	2.95170624621275e-28
TMEM14C	7.13831515386786e-30	2.97425123346227e-28
TNFRSF9	8.33318199547151e-30	3.46529654431294e-28
HLA-G	8.38793137364902e-30	3.48123774114185e-28
TLN1	8.76368868642211e-30	3.63008417307891e-28
FAM3C	9.73207373397733e-30	4.02334931286922e-28
CTSB	1.07304813974571e-29	4.42747177971345e-28
GCLM	1.11994020921255e-29	4.61197902077277e-28
ITGAL	1.57804188713342e-29	6.48587448494681e-28
FOSB	1.90764099344819e-29	7.82538688376193e-28
BTN3A3	2.13693253013269e-29	8.74904731641971e-28
LBH	2.17595901269804e-29	8.89166449736033e-28
CD97	2.87994335261934e-29	1.1745738196606e-27
RASSF5	2.96558029551059e-29	1.20717901933184e-27
