pathway	pval	padj	log2err	ES	NES	size	leadingEdge	seurat_clusters
Oxidative phosphorylation	20.7498223955836	3.20221221272227e-20	1.19534448258848	0.705079229674969	2.33423169623461	105	ATP5PD,ATP5F1B,ATP5PB,COX6B1,ATP5MC3,NDUFA3,PPA1,NDUFA1,NDUFA13,UQCRQ,NDUFB4,ATP5ME,NDUFB10,NDUFS8,COX7A2L,ATP6V0E1,COX7A2,COX5A,NDUFB11,COX7B,ATP5MF,ATP5F1C,NDUFA12,ATP6V0B,COX5B,UQCRH,NDUFS2,UQCRC2,ATP6V1G1,ATP5F1A,NDUFA4,UQCRFS1,UQCRB,ATP5PF,COX8A,NDUFB5,NDUFV2,NDUFS7,NDUFB2,ATP6V0C,COX6A1,COX17,COX6C,UQCR10,NDUFS5,UQCR11,NDUFB9,UQCRC1,NDUFB1,NDUFB6,SDHC,TCIRG1,NDUFA6,SDHD,NDUFC1,ATP5MG,ATP5F1D,ATP6V1F,NDUFV1,COX7C,NDUFB3,NDUFA2,NDUFS6,NDUFAB1,SDHA,ATP5MC2,NDUFC2,CYC1,NDUFA5,NDUFB7,NDUFS3,COX4I1,ATP6AP1,ATP6V0D1,NDUFA10,ATP6V0E2,SDHB,NDUFA11,NDUFA9	c7
Citrate cycle (TCA cycle)	0.821295125341632	0.946853146853147	0.108820126769161	0.407066086290284	1.21650995827671	28	MDH1,MDH2,IDH2,SDHC,SDHD,SDHA,SUCLG1,IDH3G,PDHB,SDHB,OGDH,IDH3B,SUCLG2,ACLY,CS,ACO2,DLD,DLST,SUCLA2,PDHA1	c7
Fatty acid elongation	0.496446390798028	0.946853146853147	0.0673623868166279	0.374447053559221	1.0966885085408	24	TECR,HADHA,ELOVL5,HACD4,ABHD17A,HADHB,THEM4,ACAA2,ECHS1,ELOVL1,PPT1	c7
Fatty acid biosynthesis	0.480484123714253	0.946853146853147	0.203508959461977	-0.335038363171355	-1.12501202450361	10	ACACB,OXSM,MCAT,ACSL1,ACACA,FASN,ACSL3,ACSL6,ACSL4,ACSL5	c7
Oxidative phosphorylation	17.4389265910743	6.55157797187811e-17	1.0959292864312	0.660357889832628	2.39408282727874	103	COX5B,COX8A,ATP5F1B,PPA1,UQCRH,ATP5MG,ATP5MC3,ATP6V0C,COX7C,COX6A1,ATP6V0E1,ATP6V1G1,UQCR11,NDUFB11,COX4I1,UQCRB,NDUFB2,ATP5F1D,NDUFS5,COX7B,ATP5MC2,COX6C,COX6B1,ATP5F1A,ATP5ME,NDUFV1,NDUFA4,ATP6V1F,UQCRQ,NDUFV2,UQCR10,ATP5F1E,NDUFA1,NDUFB10,NDUFB4,COX5A,COX7A2L,ATP5PF,COX7A2,ATP5F1C,NDUFA12,NDUFS7,ATP5PB,NDUFA13,NDUFB9,UQCRFS1,COX17,NDUFAB1,ATP5PD,NDUFS8,SDHD,NDUFB7,ATP5MF,ATP6V0B,NDUFA6,NDUFS6,UQCRC2,NDUFA3,TCIRG1,NDUFB3,ATP5MC1,NDUFB5,NDUFA2,NDUFA10,ATP6V0E2,UQCRC1,SDHC,CYC1,NDUFA11,NDUFA5,NDUFB1,ATP6AP1,NDUFA9,NDUFB6,NDUFS2,NDUFC2	c5
Fatty acid biosynthesis	1.78477218756778	0.147730552437502	0.352487857583619	-0.468085106382979	-1.62668230270484	10	ACACB,ACACA,OXSM,FASN,ACSL1,MCAT,ACSL6,ACSL3,ACSL4,ACSL5	c5
Citrate cycle (TCA cycle)	0.793359820267177	0.930722891566265	0.105125131597001	0.389066447262195	1.23699921064197	27	MDH2,IDH2,MDH1,SDHD,SUCLG1,SDHC,SUCLG2,DLST,CS,SDHA,SDHB,IDH3G,PDHB,ACO2,SUCLA2,IDH3A,OGDH,ACLY,IDH3B,PDHA1	c5
Fatty acid elongation	0.272835795025385	0.996868475991649	0.0434506826723125	0.310768237002622	0.970592361115255	23	HADHA,ELOVL5,TECR,THEM4,ACAA2,ELOVL1,HACD4,PPT1,ECHS1,ACOT7,HADHB,ABHD17A,HACD3,ELOVL6,HSD17B12	c5
Oxidative phosphorylation	3.79630694631341	0.00319685581678476	0.518848077743792	0.417162352833157	1.57770397592534	106	NDUFA10,COX17,UQCRC2,ATP5MC1,ATP6V0D1,NDUFB5,TCIRG1,NDUFC1,NDUFA5,NDUFB6,NDUFA7,SDHD,SDHB,NDUFA11,SDHA,NDUFC2,NDUFA9,NDUFA3,NDUFS2,CYC1,ATP6V1H,ATP5ME,ATP6V1D,NDUFS3,PPA1,ATP6V0E2,ATP6V1F,NDUFA13,NDUFV1,NDUFB8,NDUFB1,NDUFS8,SDHC,ATP6V1E1,COX7A2L,ATP6AP1,ATP6V1C1,NDUFA8,ATP6V1G1,ATP6V1B2,NDUFA12,NDUFS7,ATP5PB,ATP6V0C,PPA2,NDUFV2,NDUFS4,NDUFS1,ATP6V0B,NDUFS6,NDUFB9,NDUFB4,ATP5PF,NDUFA6,COX7B,UQCRC1,UQCRQ,COX10,UQCRFS1,NDUFB3,ATP6V0E1,NDUFB7,ATP6V0A2,NDUFA2,ATP6V1A,COX11,NDUFAB1,NDUFB11,ATP5PO,UQCRH,UQCR11,ATP5F1C,NDUFB2,ATP5F1D,ATP5PD,ATP5F1A,COX15,NDUFB10,NDUFA1,NDUFV3,UQCR10,UQCRB,NDUFS5,ATP5F1B,COX5B,ATP5MF	c9
Citrate cycle (TCA cycle)	3.05598095836777	0.00879061058399177	0.477270815362862	0.522932476081766	1.76002937374782	28	SDHD,SDHB,CS,SUCLG2,SDHA,SUCLA2,DLD,DLST,IDH3B,ACO2,MDH1,IDH3G,FH,OGDH,PDHB,SDHC,PDHA1,SUCLG1,MDH2,IDH2,ACLY,PCK2,IDH3A	c9
Fatty acid elongation	2.45007812737746	0.0236499710562009	0.431707695803346	0.484364291730237	1.62209247836354	27	HACD4,ELOVL1,ACOT7,ELOVL5,HADHA,ACAA2,ABHD17A,ECHS1,HACD3,HADHB,HADH	c9
Fatty acid biosynthesis	0.133538908370217	0.865051903114187	0.199915231309662	-0.214100752864738	-0.838475589946396	12	OLAH,ACSBG1,ACACB,ACSL1,OXSM,FASN,ACSL6,ACACA,MCAT,ACSL3,ACSL4	c9
Oxidative phosphorylation	20.1674505200265	1.2241143386719e-19	1.1778932614942	0.69853828459404	2.39059332661775	104	ATP6V0E1,UQCRH,NDUFV2,ATP5F1D,COX7B,UQCRB,ATP5F1A,NDUFC1,NDUFB11,COX7A2,ATP5F1B,NDUFA13,UQCRQ,COX5A,ATP5PB,COX6B1,ATP5ME,UQCRFS1,NDUFA1,COX7A2L,COX6A1,COX5B,PPA1,NDUFB4,NDUFS5,NDUFA2,UQCR10,ATP6V0C,ATP5MC2,ATP5MF,NDUFA4,COX8A,ATP5PD,UQCR11,NDUFA12,ATP6V1F,NDUFS6,COX6C,COX4I1,NDUFB2,ATP6V1G1,SDHC,ATP5PF,NDUFA3,NDUFV1,NDUFA6,ATP6V0B,NDUFS7,NDUFS8,ATP5MG,ATP5F1C,UQCRC1,NDUFB1,COX7C,NDUFB9,NDUFB5,TCIRG1,UQCRC2,NDUFAB1,ATP5MC3,ATP5F1E,NDUFB6,NDUFB10,COX17,NDUFS2,SDHA,NDUFB7,CYC1,SDHD,ATP6V0E2,NDUFB3,NDUFC2,NDUFA5,NDUFS3,ATP5MC1,NDUFA11,NDUFA8,ATP6V0D1,ATP6AP1	c4
Citrate cycle (TCA cycle)	0.937997317958044	0.903010033444816	0.126875729929857	0.414933297074124	1.24844704578926	27	MDH2,SDHC,MDH1,IDH2,PDHB,SDHA,SDHD,OGDH,CS,IDH3G,SUCLG1,ACO2,SUCLG2,SDHB,IDH3B,DLD,PDHA1,SUCLA2,DLST,IDH3A,PCK2,ACLY	c4
Fatty acid biosynthesis	0.482164155014654	0.96996996996997	0.203508959461977	-0.370558375634518	-1.33012807766402	10	ACACB,ACSL6,ACSL1,ACACA,OXSM,MCAT,FASN,ACSL3,ACSL4,ACSL5	c4
Fatty acid elongation	0.178057878938058	0.96996996996997	0.0327241935806629	0.305347513136235	0.911679047426438	25	ELOVL5,TECR,HADHA,HADHB,THEM4,ECHS1,PPT1,ABHD17A,ELOVL1,ACAA2,HACD4,ACOT7,HADH,HACD3,HACD1,HACD2	c4
