Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Pantothenate and CoA biosynthesis	1/21	0.657360270360759	0.850882219111823	0	0	0.955991943605237	0.401060659853937	PPCS
Glycosphingolipid biosynthesis	2/45	0.662083778061228	0.853010262897489	0	0	0.889112903225806	0.366637422454753	B3GNT2;ST6GALNAC4
Systemic lupus erythematosus	6/135	0.667490180892208	0.855994352347878	0	0	0.888663967611336	0.359225168017027	HLA-DRB5;HLA-DRB4;SSB;CD40LG;IFNG;TNF
Adipocytokine signaling pathway	3/69	0.673282158268953	0.856930375288586	0	0	0.868727639666086	0.343660646940967	TNFRSF1B;TNF;TNFRSF1A
Arginine biosynthesis	1/22	0.67440729896358	0.856930375288586	0	0	0.910420562988539	0.358633823616332	GLUL
Carbohydrate digestion and absorption	2/47	0.685364355412697	0.86170334061299	0	0	0.849507168458781	0.320947780895739	PIK3CD;ATP1A1
Mismatch repair	1/23	0.690607009444346	0.86170334061299	0	0	0.868992035155177	0.321687246725991	POLD2
Proximal tubule bicarbonate reclamation	1/23	0.690607009444346	0.86170334061299	0	0	0.868992035155177	0.321687246725991	ATP1A1
Renin-angiotensin system	1/23	0.690607009444346	0.86170334061299	0	0	0.868992035155177	0.321687246725991	CTSA
Amino sugar and nucleotide sugar metabolism	2/48	0.696502448116793	0.865162233759424	0	0	0.830995792426367	0.300557857992938	CYB5R4;PGM1
Phosphatidylinositol signaling system	4/97	0.716566658516896	0.873050906222179	0	0	0.821679157163028	0.273852518287801	INPP4B;PIK3CD;CALM3;CALM1
AMPK signaling pathway	5/120	0.717669858750316	0.873050906222179	0	0	0.83048314063393	0.275509146408793	PPP2CA;PFKFB3;PIK3CD;EEF2;RAB11B
Arginine and proline metabolism	2/50	0.717798003389955	0.873050906222179	0	0	0.796286962365591	0.264022544419788	ODC1;LAP3
Cysteine and methionine metabolism	2/50	0.717798003389955	0.873050906222179	0	0	0.796286962365591	0.264022544419788	MAT2A;ENOPH1
PPAR signaling pathway	3/74	0.718612298262299	0.873050906222179	0	0	0.807336450590526	0.266770839708755	SLC27A1;FABP5;UBC
Thyroid hormone synthesis	3/75	0.727067184892444	0.879465546791297	0	0	0.796081399260007	0.253740112808049	HSPA5;ATP1A1;HSP90B1
Melanogenesis	4/101	0.745587227910192	0.896644781602888	0	0	0.787628865979381	0.231234560123275	TCF7;CALM3;RAF1;CALM1
Collecting duct acid secretion	1/27	0.747743482130928	0.896644781602888	0	0	0.735146022155086	0.213703492095697	ATP6V1G1
Regulation of lipolysis in adipocytes	2/55	0.76557409391086	0.91406906902288	0	0	0.720975349969568	0.192593624004919	PDE3B;PIK3CD
Relaxin signaling pathway	5/129	0.774220687035229	0.920425451968921	0	0	0.769839198930167	0.197000558187864	PIK3CD;GRB2;RAF1;PRKCZ;TGFBR1
Peroxisome	3/82	0.78075375547942	0.92422559943504	0	0	0.725274304180664	0.179502106778208	PRDX5;CAT;PAOX
Glucagon signaling pathway	4/107	0.784782642166724	0.924501425759637	0	0	0.741512209473374	0.179704363170273	PGAM1;PDE3B;CALM3;CALM1
Drug metabolism	4/108	0.790823893131131	0.924501425759637	0	0	0.734343434343434	0.172335698276067	GSTM1;GSTP1;NME2;NME1
Dopaminergic synapse	5/132	0.791020161013291	0.924501425759637	0	0	0.751534597103572	0.176183626046835	PPP2CA;KIF5B;CALM3;CALM1;ARNTL
RNA polymerase	1/31	0.794336965093118	0.924501425759637	0	0	0.636992279288352	0.14666589159491	POLR2A
Notch signaling pathway	2/59	0.798579389977321	0.925550171647355	0	0	0.670239105829089	0.150750777789611	APH1A;RBPJ
Long-term depression	2/60	0.806160139993595	0.928237666559566	0	0	0.658648498331479	0.141920883149244	PPP2CA;RAF1
Glycerolipid metabolism	2/61	0.813485847927478	0.928237666559566	0	0	0.647450792782941	0.133651162290794	AGPAT5;LPIN2
Base excision repair	1/33	0.814302357306767	0.928237666559566	0	0	0.597117321248741	0.122661951314379	POLD2
Fructose and mannose metabolism	1/33	0.814302357306767	0.928237666559566	0	0	0.597117321248741	0.122661951314379	PFKFB3
ECM-receptor interaction	3/88	0.819554572968134	0.930395970131858	0	0	0.673864783047427	0.13409524406514	ITGA4;ITGA1;ITGB7
GABAergic synapse	3/89	0.82541956552901	0.931664158020575	0	0	0.665993945509586	0.127779901156007	GABARAPL1;SLC38A1;GLUL
Basal cell carcinoma	2/63	0.827398494126575	0.931664158020575	0	0	0.626156795346378	0.118637204780036	CDKN1A;TCF7
GnRH secretion	2/64	0.833998534537862	0.935293903105214	0	0	0.616024973985432	0.111823091773234	PIK3CD;RAF1
Mucin type O-glycan biosynthesis	1/36	0.840678947795262	0.938984147335837	0	0	0.545849518054956	0.0947296961138815	ST6GALNAC4
Alanine, aspartate and glutamate metabolism	1/37	0.848611399719539	0.940281470660222	0	0	0.53065905784939	0.0871097606787706	GLUL
Growth hormone synthesis, secretion and action	4/119	0.848629486155435	0.940281470660222	0	0	0.663715415019763	0.108937336722544	PIK3CD;GRB2;RAF1;JUNB
