Gene	Rank
PGD	-0.0668688440107422
NANS	-0.0670039548680287
PGM2	-0.0671679603995416
PTEN	-0.0685232954658128
NDUFV3	-0.069678351184207
NAGK	-0.0703391322991357
ACSL4	-0.0709159255620699
HK1	-0.071428853832908
ETHE1	-0.0718580453191563
ELOVL4	-0.0728202589877689
DERA	-0.0732389782413999
GCDH	-0.0740464410665991
PYGM	-0.0742148069566175
BPNT1	-0.0743874190280113
GCSH	-0.0746061653111892
PIP4K2B	-0.0747075466610697
COX11	-0.0754420567234706
AMY2B	-0.0755853690772121
PMM1	-0.0772721354443254
MTMR1	-0.077786484354509
ATP6V0B	-0.078215707876683
ATP6V0C	-0.0784231918137346
INPP5K	-0.0786736725720183
ALDOA	-0.079062769046486
NDUFA5	-0.0807495530852733
ALDH9A1	-0.0816411363554792
PC	-0.0817001027424265
ABHD17C	-0.0829504035038029
KHK	-0.0849715795504227
BDH1	-0.085243928726702
GMPPA	-0.085262363083216
COX15	-0.085548389444497
LHPP	-0.0857763414968038
PLCD1	-0.0859983953637823
HACD3	-0.0867727559681312
HIBCH	-0.0877844166067495
ACO2	-0.0880853702417326
PCCB	-0.0882153455512206
MECR	-0.088912660400577
PKM	-0.0899772352689083
GLB1	-0.090005996303863
GRHPR	-0.090510561035837
PIP5K1B	-0.0911605356461998
HAGH	-0.0912745501387036
PLCB2	-0.0915590378467164
ECI1	-0.0916059863455978
GLA	-0.0926079398108421
ACAA1	-0.0930075905519982
GLYCTK	-0.0931942887293501
TKTL1	-0.0981158162102963
PFKL	-0.0989597233503684
ACSS2	-0.100203922480619
PFKP	-0.10121159644371
ATP6V1A	-0.10184210503155
CDIPT	-0.103813614886156
PPA2	-0.104578693125966
EHHADH	-0.107559641576202
AKR1A1	-0.107678986642022
PCK2	-0.108011622316499
PAPSS1	-0.109534265378206
ATP6V1D	-0.111866546856721
MINPP1	-0.11221608385298
PGLS	-0.112498389802148
NDUFS3	-0.113727011144966
COX10	-0.113810456696782
RPE	-0.113903074039807
HK2	-0.114229282796243
DLD	-0.116604290108841
BCKDHA	-0.116641965753777
ATP6V0A1	-0.117507884199924
CAT	-0.11791122134504
PGP	-0.118087986018522
OXCT1	-0.11834349420221
ACOT2	-0.120279073741384
LDHA	-0.120363893749861
NDUFA8	-0.120493277406501
ACACB	-0.120891695815656
ATP5F1D	-0.121332445884507
GAPDH	-0.123090154709219
MDH2	-0.123160806014182
SYNJ1	-0.125467225899851
CA5B	-0.128702067301463
IDH3G	-0.129553343507636
SYNJ2	-0.130538969170214
NDUFS2	-0.130954739794857
GALT	-0.131015306984681
ENO1	-0.131060518865482
HADH	-0.132114627460865
INPP1	-0.132740280819585
ELOVL1	-0.132847276208634
PDHB	-0.132984561746072
PPT2	-0.133302817015934
HADHB	-0.133823985458876
ACOT4	-0.134975061732213
NDUFA9	-0.135127588738218
PIKFYVE	-0.136964114873392
SHMT2	-0.138828960134054
SHMT1	-0.139136798393887
UQCRC1	-0.139937633858733
PRPS2	-0.141097715658432
CYC1	-0.141638797412635
ELOVL5	-0.14247038939948
SDHD	-0.14399723795916
NDUFA10	-0.144711689385002
ACSL6	-0.14684048453896
SDHB	-0.147316161802918
BCKDHB	-0.149024688980653
ATP6V1F	-0.149507053406747
PI4K2A	-0.152782751355989
ACO1	-0.152802583765764
HEXB	-0.153138425047846
AKR1B1	-0.153203851344824
ATP5F1C	-0.153241085572782
BPGM	-0.153400278052832
DLAT	-0.154138171132278
NDUFS7	-0.15661971406315
SUCLG1	-0.158125383173596
NANP	-0.159598769613155
PI4K2B	-0.159641775776485
SDHA	-0.159770352203666
ATP6V0D1	-0.159783701496242
PI4KA	-0.160459906444672
IDH2	-0.1608776070326
COX17	-0.163548968600013
ADH5	-0.165938220789701
PPT1	-0.166075153346805
ACAT1	-0.166783139200555
MPI	-0.168252360322433
PLCB1	-0.172934265702103
GALM	-0.173960421991175
FH	-0.174035292455766
MTMR14	-0.17481693699335
ACYP1	-0.176562119851655
HADHA	-0.177261634949381
ATP5F1B	-0.177301047625465
SDHC	-0.179404729004726
GLDC	-0.18182197545918
MDH1	-0.18190503758945
ACAA2	-0.18410794916603
NDUFB10	-0.184331177476848
NDUFA6	-0.185034233838222
ATP5ME	-0.188550609401524
ATP6V0E2	-0.188671741259881
G6PD	-0.189768352956494
ATP6V1G1	-0.190498154288974
ATP5MC1	-0.191406144699292
NDUFA3	-0.195097850099839
NDUFA7	-0.195934320781821
COX5A	-0.197176250154243
NDUFA1	-0.197295217744189
UQCRFS1	-0.198915853249202
ATP5PD	-0.201693306224868
PGAM1	-0.202230810741772
ATP6V0E1	-0.204167484026324
ATP6V1B2	-0.205648778844249
NDUFB6	-0.20809454845094
NDUFA12	-0.213702067408702
NDUFB5	-0.215009969290717
ATP6V1E1	-0.218147098476792
UQCRH	-0.221453888959966
NDUFB4	-0.223275394063821
