Gene	Rank
NDUFA8	0.0593200175122005
MTM1	0.0585332864226192
FPGT	0.0572539762390354
NDUFA3	0.0570834302683333
PRPS1	0.0569106383666614
ATP6AP1	0.0558209006146164
ACADS	0.0556651071003271
AKR1A1	0.0550737962188807
GALK1	0.0550226501300136
CYB5R4	0.0549170290531314
SDHC	0.0546834148924456
CA13	0.0545257344213957
XYLB	0.0540126830812952
PTEN	0.0535871722927896
CYB5RL	0.0531338146877458
NAGK	0.0530107805475965
ACAA2	0.0529237154505496
FUK	0.0528460136195346
ATP6V1B2	0.0514865711389475
CPT1C	0.0514600679646503
OXCT1	0.0506894864097052
ATP5PF	0.0503671626530705
ATP6V1A	0.0501410285234673
GFPT2	0.0501408688244805
INPP1	0.0500649558245549
OXSM	0.0499908877478083
NDUFA4	0.0494846306941202
ACOT4	0.0491732774138212
PI4K2B	0.0491557112080669
COX10	0.0489938082236266
BCKDHB	0.0487229453448346
NDUFV3	0.0486062387911494
GCSH	0.0481188566576923
INPP5K	0.0472097096963399
FASN	0.0471181466108601
ALDH1B1	0.0467440652724326
UQCR11	0.0466202152837676
NANP	0.0465611254636507
IDH3G	0.0464151835870735
TKT	0.0461666502644273
ATP5ME	0.046131395587054
PLCB3	0.0461292278587626
RPIA	0.0459194047814513
ACOT2	0.0457578692336369
NDUFS1	0.0456006441818648
IMPA1	0.0455282664872376
AMY2B	0.0452004453807799
ATP5PD	0.0451643717003586
NDUFA2	0.0449259255537992
HEXB	0.0448862314992495
PGM3	0.0442234054741471
PPT2	0.0441744514985966
ACACB	0.0440722597192168
GLUL	0.0433724800050056
MINPP1	0.0431056553853533
NDUFS5	0.0430463540634202
COX15	0.0430105181191115
PDHB	0.0428966908234274
COX7A2	0.0426438403548975
NDUFS4	0.0426311129716818
IMPAD1	0.0422250740357527
PMM2	0.041936748686542
ACO1	0.0419207683974683
SUCLG2	0.0410103341876642
ADPGK	0.0406084151425242
ALDH5A1	0.0403238202949037
SHMT2	0.0399763665902521
UQCRHL	0.0388403811978466
NDUFA9	0.0377105594800032
MCAT	0.0375817834938234
GALM	0.0373940520158866
IDH3B	0.0364148557244324
ATP6V1C2	0.0363297820755756
B4GALT2	0.0363291323629846
NDUFB8	0.0362646779800107
RENBP	0.0359223283540028
SORD	0.0356985746046472
INPP5A	0.0352169529511439
MECR	0.0351528230628385
CS	0.0349881632857749
ACSL4	0.034656815007656
ATP5F1E	0.034232879901677
PFKP	0.033757789442891
ACYP1	0.0325919134566456
COX6B1	0.0317564336441121
ACADVL	0.0315762508345924
GANC	0.0314729405268539
PIP5K1A	0.0301287422327371
ATP5PB	0.0288864802477521
PLCG1	0.0286886007978654
HADHA	0.0281238771549103
UQCR10	0.0264618353162207
COX6C	0.024811795378727
PAPSS1	0.0243236786036349
ENO3	0.0235765025537046
PI4KB	0.0234490094003499
CRYL1	0.023201444324748
PCK2	0.023154898397813
ACSL6	0.0230630138837657
BPNT1	0.0229952712950009
GBE1	0.0227733607936371
MPI	0.0219038645633439
NDUFA11	0.0204694195315701
PMM1	0.0203432810800191
HACD3	0.0202089876219814
COX17	0.0201182774499599
ATP5MC2	0.0196197499683843
MTMR8	0.0191012868785146
AMT	0.018297231045973
SQOR	0.0172283705177883
CPT2	0.0160108990789784
HACD2	0.0157470708995313
PIP5KL1	0.0154746276339771
MTMR6	0.0153072943989103
ACYP2	0.0146527271586994
NDUFB5	0.0142710353715016
GNPNAT1	0.0139647047863365
NDUFB11	0.0137165607617334
PPT1	0.0132713727351567
ISPD	0.0128048156893784
HADHB	0.0106535579591862
PFKFB2	0.0102647070839147
ATP5MG	0.00981955024564453
PIK3CA	0.00870105647229251
