Sample	seurat_clusters	nCells	nCellsPerCluster	percCellsPerSample	nCellsPerSample	CellFraction
LN5	14	26	2561	0.00642451198418582	4047	0.0101522842639594
LN5	15	96	2365	0.0237212750185322	4047	0.0405919661733615
LN5	16	72	1451	0.0177909562638992	4047	0.0496209510682288
LN5	17	136	1300	0.0336051396095874	4047	0.104615384615385
LN5	18	81	1267	0.0200148257968866	4047	0.063930544593528
LN5	19	24	169	0.00593031875463306	4047	0.142011834319527
LN6	0	540	10395	0.0735494415690548	7342	0.051948051948052
LN6	1	1588	7749	0.21628983928085	7342	0.204929668344302
LN6	2	475	7361	0.0646962680468537	7342	0.0645292759135987
LN6	3	636	6321	0.0866248978479978	7342	0.100616990982439
LN6	4	382	5469	0.0520294197766276	7342	0.0698482355092339
LN6	5	826	5085	0.112503405066739	7342	0.16243854473943
LN6	6	403	4521	0.0548896758376464	7342	0.0891395708913957
LN6	7	433	4318	0.0589757559248161	7342	0.100277906438166
LN6	8	210	4118	0.028602560610188	7342	0.0509956289460903
LN6	9	224	4101	0.0305093979842005	7342	0.0546208241892221
LN6	10	384	3897	0.0523018251157723	7342	0.0985373364126251
LN6	11	415	3771	0.0565241078725143	7342	0.110050384513392
LN6	12	96	2967	0.0130754562789431	7342	0.032355915065723
LN6	13	120	2730	0.0163443203486788	7342	0.043956043956044
LN6	14	47	2561	0.00640152546989921	7342	0.0183522061694651
LN6	15	201	2365	0.027376736584037	7342	0.0849894291754757
LN6	16	217	1451	0.0295559792971942	7342	0.149552033080634
LN6	17	68	1300	0.00926178153091801	7342	0.0523076923076923
LN6	18	63	1267	0.00858076818305639	7342	0.0497237569060773
LN6	19	14	169	0.00190683737401253	7342	0.0828402366863905
LT1	0	1047	10395	0.140442655935614	7455	0.100721500721501
LT1	1	353	7749	0.0473507712944333	7455	0.0455542650664602
LT1	2	936	7361	0.125553319919517	7455	0.127156636326586
LT1	3	538	6321	0.0721663313212609	7455	0.0851131150134472
LT1	4	271	5469	0.0363514419852448	7455	0.0495520204790638
LT1	5	278	5085	0.037290409121395	7455	0.0546705998033432
LT1	6	250	4521	0.0335345405767941	7455	0.055297500552975
LT1	7	390	4318	0.0523138832997988	7455	0.0903195924038907
LT1	8	494	4118	0.0662642521797451	7455	0.11996114618747
LT1	9	126	4101	0.0169014084507042	7455	0.0307242136064375
LT1	10	397	3897	0.053252850435949	7455	0.101873235822428
LT1	11	327	3771	0.0438631790744467	7455	0.086714399363564
LT1	12	834	2967	0.111871227364185	7455	0.281092012133468
LT1	13	72	2730	0.0096579476861167	7455	0.0263736263736264
LT1	14	517	2561	0.0693494299128102	7455	0.201874267864116
LT1	15	234	2365	0.0313883299798793	7455	0.0989429175475687
LT1	16	118	1451	0.0158283031522468	7455	0.0813232253618194
LT1	17	135	1300	0.0181086519114688	7455	0.103846153846154
LT1	18	132	1267	0.0177062374245473	7455	0.104183109707972
LT1	19	6	169	0.000804828973843058	7455	0.0355029585798817
LT2	0	1611	10395	0.183631596945173	8773	0.154978354978355
LT2	1	653	7749	0.0744329191838596	8773	0.0842689379274745
LT2	2	903	7361	0.102929442608002	8773	0.122673549789431
LT2	3	737	6321	0.0840077510543714	8773	0.116595475399462
LT2	4	396	5469	0.0451384931038413	8773	0.0724081184860121
LT2	5	390	5085	0.0444545765416619	8773	0.0766961651917404
LT2	6	350	4521	0.0398951327937992	8773	0.077416500774165
