p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	Diagnosis
2.94484617385811e-10	0.602906192670477	0.955	0.891	9.87642509788533e-06	DNAJB1	Colitis
2.98436677074411e-10	2.5824203061587	0.065	0.011	1.00089692757216e-05	LDLR	Colitis
3.13934065803223e-10	0.782089833234067	0.538	0.381	1.05287206989085e-05	NEAT1	Colitis
3.72272503279776e-10	-0.383218210905818	0.89	0.933	1.24852752149971e-05	CD48	Colitis
3.79018981213131e-10	-0.268784790165312	0.994	0.994	1.2711538591926e-05	MT-ND5	Colitis
3.8270388226793e-10	1.67412288933594	0.158	0.06	1.28351228035018e-05	FAAH2	Colitis
8.76418988282974e-10	-0.418363554246828	0.78	0.887	2.93933400290344e-05	HNRNPDL	Colitis
9.24890670575142e-10	-0.95412160773102	0.217	0.384	3.10189833097491e-05	NDUFA11	Colitis
1.56981801946717e-09	-0.787129930941342	0.293	0.462	5.26485567368899e-05	GRAMD1A	Colitis
1.60432195525586e-09	2.07546031743882	0.09	0.024	5.3805749735371e-05	VIPR1	Colitis
2.23234384704009e-09	0.88575687361655	0.465	0.315	7.48683479420307e-05	MT2A	Colitis
2.40624301140371e-09	1.07294384193441	0.442	0.303	8.07005781164576e-05	TNFRSF4	Colitis
2.50041226863862e-09	-0.666958105603244	0.417	0.576	8.38588266656022e-05	GSTP1	Colitis
3.48256540052585e-09	-0.790472532545425	0.324	0.479	0.000116798278402836	CYFIP2	Colitis
3.93370500008414e-09	2.67029306218404	0.065	0.013	0.000131928598292822	SVIL	Colitis
4.13765528690628e-09	-0.209893741556254	1	0.999	0.000138768683012263	CD3E	Colitis
4.19854960305826e-09	0.663267887674429	0.763	0.632	0.000140810956587368	DUSP2	Colitis
4.46142785748432e-09	0.938781898109939	0.332	0.195	0.000149627367484309	KDM6B	Colitis
5.10803392910531e-09	-1.11166391694257	0.163	0.314	0.000171313241914334	SSBP2	Colitis
5.5722815857652e-09	-0.42299182093439	0.69	0.807	0.000186883179823393	DAD1	Colitis
5.74765960991421e-09	0.254906258110889	1	1	0.000192765007997303	RPS2	Colitis
6.45466990479731e-09	-0.90883774168207	0.225	0.38	0.000216476719267092	RHOC	Colitis
6.85540607676475e-09	-1.0644600063864	0.144	0.295	0.000229916609002536	ITM2C	Colitis
9.30799463099056e-09	0.819649204919401	0.313	0.175	0.000312171523934161	CDC25B	Colitis
9.41536098665569e-09	-0.262367347733607	0.98	0.993	0.000315772376770459	VIM	Colitis
9.91736050167149e-09	1.44122702325971	0.163	0.07	0.000332608436505058	RIPK2	Colitis
1.11633608115381e-08	0.849589724868431	0.327	0.192	0.000374396794897364	ITGAE	Colitis
1.17174538629306e-08	-0.531035597113115	0.603	0.715	0.000392979967654968	EIF5A	Colitis
1.20515616009307e-08	-2.28349850839351	0.023	0.126	0.000404185272972015	CHPT1	Colitis
